,player,total_workers,resource_mining,total_army_value,total_army,supply,time,fraction,winner,replay_filename
0,DnS,66,25310,2625,24.0,149.0,808,Protoss,1,replays/all\001bf0a2e6624544b051e1ebf649b480.SC2Replay
1,Clem,46,28154,5825,96.0,174.0,836,Terraner,0,replays/all\001bf0a2e6624544b051e1ebf649b480.SC2Replay
2,ShoWTimE,80,46365,2650,30.0,200.0,1058,Protoss,1,replays/all\00228494d6e24d0bbe0bd6404a111639.SC2Replay
3,HeroMarine,72,39176,9750,126.0,200.0,1035,Terraner,0,replays/all\00228494d6e24d0bbe0bd6404a111639.SC2Replay
4,Happy,35,22633,800,14.0,70.0,555,Terraner,1,replays/all\0030145200c74cfcaefed6b5f8971888.SC2Replay
5,SortOf,32,6646,1100,11.0,52.0,413,Zerg,0,replays/all\0030145200c74cfcaefed6b5f8971888.SC2Replay
6,Kelazhur,66,22585,2375,40.0,117.0,627,Terraner,1,replays/all\00371f7ff6a34e389fb78bfc17bf34b0.SC2Replay
7,Nerchio,72,16884,3750,40.0,120.0,630,Zerg,0,replays/all\00371f7ff6a34e389fb78bfc17bf34b0.SC2Replay
8,iGiA,45,7361,1400,9.0,74.0,390,Zerg,1,replays/all\003c1f2e362242c698c21063bfcc4d6f.SC2Replay
9,iGXiGua,34,8488,2125,26.5,74.0,390,Zerg,0,replays/all\003c1f2e362242c698c21063bfcc4d6f.SC2Replay
10,Trap,61,48518,4985,50.0,196.0,1018,Protoss,0,replays/all\00447901828e469cb1adc278e536fa77.SC2Replay
11,Reynor,77,48352,9950,110.0,200.0,934,Zerg,1,replays/all\00447901828e469cb1adc278e536fa77.SC2Replay
12,Ziggy,77,35585,6800,106.0,181.0,917,Terraner,0,replays/all\00467779685e4f51a1e2f189a4e8fd91.SC2Replay
13,Namshar,74,53148,10475,113.5,200.0,965,Zerg,1,replays/all\00467779685e4f51a1e2f189a4e8fd91.SC2Replay
