,player,total_workers,resource_mining,total_army_value,total_army,supply,time,fraction,winner,replay_filename
0,DnS,66,25310,2625,24.0,149.0,808,Protoss,1,replays/1stRun\001bf0a2e6624544b051e1ebf649b480.SC2Replay
1,Clem,46,28154,5825,96.0,174.0,836,Terraner,0,replays/1stRun\001bf0a2e6624544b051e1ebf649b480.SC2Replay
2,iGiA,45,7361,1400,9.0,74.0,390,Zerg,1,replays/1stRun\003c1f2e362242c698c21063bfcc4d6f.SC2Replay
3,iGXiGua,34,8488,2125,26.5,74.0,390,Zerg,0,replays/1stRun\003c1f2e362242c698c21063bfcc4d6f.SC2Replay
4,State,27,4589,550,6.0,46.0,261,Protoss,0,replays/1stRun\00b612edc78c4a818fa4405db3bfe3fd.SC2Replay
5,PiLiPiLi,23,4089,600,8.0,39.0,252,Protoss,1,replays/1stRun\00b612edc78c4a818fa4405db3bfe3fd.SC2Replay
6,Optimus,66,40998,8000,120.0,196.0,934,Terraner,1,replays/1stRun\00c26072d8ec4c699dab9154900aa769.SC2Replay
7,LiquidTLO,74,57408,12300,124.0,252.0,1016,Zerg,0,replays/1stRun\00c26072d8ec4c699dab9154900aa769.SC2Replay
8,Sen,37,6559,1450,14.0,52.0,356,Zerg,1,replays/1stRun\00d09303c8c54d52980881fdac912b8f.SC2Replay
9,Rose,35,7417,950,7.0,52.0,325,Zerg,0,replays/1stRun\00d09303c8c54d52980881fdac912b8f.SC2Replay
10,Zest,64,23041,2525,27.0,133.0,653,Protoss,1,replays/1stRun\00f9958cffb34e24a277e76ee34c211f.SC2Replay
11,Stephano,64,20882,5375,67.5,138.0,658,Zerg,0,replays/1stRun\00f9958cffb34e24a277e76ee34c211f.SC2Replay
12,MaNa,28,9233,1075,12.0,47.0,364,Protoss,1,replays/1stRun\00fdc8fa93474b1196b9a36188f21bc8.SC2Replay
13,Caliber,23,5597,1250,14.0,47.0,292,Protoss,0,replays/1stRun\00fdc8fa93474b1196b9a36188f21bc8.SC2Replay
14,Zanster,67,17682,5000,45.0,152.0,587,Zerg,1,replays/1stRun\01a72a97f1d84e9db6462f70119e5804.SC2Replay
15,Drunkenboi,54,13965,2950,45.0,117.0,583,Terraner,0,replays/1stRun\01a72a97f1d84e9db6462f70119e5804.SC2Replay
16,PiLiPiLi,23,10702,1100,12.0,55.0,358,Protoss,0,replays/1stRun\01ade5c6c13d4659b1957558c045d3bf.SC2Replay
17,Zest,28,6696,1250,14.0,54.0,341,Protoss,1,replays/1stRun\01ade5c6c13d4659b1957558c045d3bf.SC2Replay
18,GogojOey,36,7472,2100,16.0,84.0,392,Zerg,0,replays/1stRun\01e941712e92471399312890e265881a.SC2Replay
19,INnoVation,35,9595,1750,26.0,62.0,449,Terraner,1,replays/1stRun\01e941712e92471399312890e265881a.SC2Replay
20,Snute,82,13765,2400,20.0,120.0,593,Zerg,1,replays/1stRun\01f46a6dc31c49a782e52e13fc9d2b6b.SC2Replay
21,Harstem,67,21080,1425,15.0,101.0,584,Protoss,0,replays/1stRun\01f46a6dc31c49a782e52e13fc9d2b6b.SC2Replay
22,Patience,26,4900,700,8.0,39.0,268,Protoss,0,replays/1stRun\01feb8bef10842d2858a1551df038074.SC2Replay
23,LiquidMaNa,25,3053,350,4.0,31.0,216,Protoss,1,replays/1stRun\01feb8bef10842d2858a1551df038074.SC2Replay
24,Drunkenboi,52,38030,6625,98.0,165.0,1102,Terraner,0,replays/1stRun\02bfc63bdd8b4235b4caed6f26d7123a.SC2Replay
25,puCK,59,59726,3400,38.0,157.0,1041,Protoss,1,replays/1stRun\02bfc63bdd8b4235b4caed6f26d7123a.SC2Replay
26,TRUE,40,17447,3750,46.0,98.0,546,Zerg,0,replays/1stRun\02d0e6589f2a407b9bbc7d667fcd9416.SC2Replay
27,PiLiPiLi,62,40878,4500,37.0,133.0,858,Protoss,1,replays/1stRun\02d0e6589f2a407b9bbc7d667fcd9416.SC2Replay
28,Nerchio,25,3252,825,7.5,36.0,277,Zerg,1,replays/1stRun\02d82d7cd181492b82a85db9ce2e79ec.SC2Replay
29,Zanster,15,2991,1050,14.0,30.0,243,Zerg,0,replays/1stRun\02d82d7cd181492b82a85db9ce2e79ec.SC2Replay
30,Neeb,73,20449,2175,23.0,173.0,671,Protoss,1,replays/1stRun\02e7514926a94550a52d4a2417650a43.SC2Replay
31,TLO,65,15846,7575,77.5,176.0,689,Zerg,0,replays/1stRun\02e7514926a94550a52d4a2417650a43.SC2Replay
32,Silky,24,3616,750,7.0,36.0,232,Zerg,0,replays/1stRun\02ef018e69a843adb5d191fb569cbff6.SC2Replay
33,Jig,16,3649,1000,12.0,36.0,232,Zerg,1,replays/1stRun\02ef018e69a843adb5d191fb569cbff6.SC2Replay
34,Reynor,76,21164,4200,49.0,138.0,694,Zerg,0,replays/1stRun\03c51e598f184660a41ce9ac42ee42c2.SC2Replay
35,uThermaL,65,19178,3625,54.0,133.0,704,Terraner,1,replays/1stRun\03c51e598f184660a41ce9ac42ee42c2.SC2Replay
36,PiLiPiLi,42,20621,950,11.0,78.0,547,Protoss,1,replays/1stRun\03cb436d01594b9291be19f1a525b179.SC2Replay
37,State,37,13661,1050,12.0,62.0,418,Protoss,0,replays/1stRun\03cb436d01594b9291be19f1a525b179.SC2Replay
38,PartinG,24,5415,1100,12.0,47.0,297,Protoss,1,replays/1stRun\03d3f9214df84013bb8082b2eb28a378.SC2Replay
39,Patience,23,5261,875,10.0,39.0,291,Protoss,0,replays/1stRun\03d3f9214df84013bb8082b2eb28a378.SC2Replay
40,CalebAracous,56,15713,6950,84.0,186.0,620,Zerg,1,replays/1stRun\03e38df400b84355ba74441c92a9f0f0.SC2Replay
41,DisK,64,19099,1800,19.0,125.0,647,Protoss,0,replays/1stRun\03e38df400b84355ba74441c92a9f0f0.SC2Replay
42,Pure,47,14489,725,8.0,78.0,476,Protoss,0,replays/1stRun\03eb1855da0e46a7bd83eefc4e12d98c.SC2Replay
43,Cuddlebear,42,9698,975,17.0,70.0,483,Terraner,1,replays/1stRun\03eb1855da0e46a7bd83eefc4e12d98c.SC2Replay
44,TIME,31,6382,550,10.0,46.0,337,Terraner,0,replays/1stRun\03ec7b932cfd4f83bc0946466d1da66c.SC2Replay
45,Reynor,35,5817,1375,13.5,52.0,353,Zerg,1,replays/1stRun\03ec7b932cfd4f83bc0946466d1da66c.SC2Replay
46,LiquidSnute,59,1048651,19150,143.0,218.0,2437,Zerg,1,replays/1stRun\04ab6eb69a6c4f919839938101a8a0b0.SC2Replay
47,aLive,63,478411,14450,144.0,346.0,2321,Terraner,0,replays/1stRun\04ab6eb69a6c4f919839938101a8a0b0.SC2Replay
48,Snute,74,31344,5475,55.5,160.0,683,Zerg,1,replays/1stRun\04af96ad18974a37a4e2c53d5c3975af.SC2Replay
49,Cuddlebear,73,26224,2500,34.0,133.0,684,Terraner,0,replays/1stRun\04af96ad18974a37a4e2c53d5c3975af.SC2Replay
50,SpeCial,67,56958,7625,117.0,172.0,1044,Terraner,1,replays/1stRun\04b6f08f4b9f46f3bc62c170ddaa579f.SC2Replay
51,Neeb,73,67658,5150,51.0,196.0,1035,Protoss,0,replays/1stRun\04b6f08f4b9f46f3bc62c170ddaa579f.SC2Replay
52,Elazer,51,11256,4950,66.0,130.0,522,Zerg,0,replays/1stRun\04cead413e7a4e479f6786d57cdc207b.SC2Replay
53,soO,54,18270,4050,46.0,114.0,518,Zerg,1,replays/1stRun\04cead413e7a4e479f6786d57cdc207b.SC2Replay
54,RAIL,48,11919,1000,11.0,70.0,455,Protoss,0,replays/1stRun\04e5747302304279bbaf13d298237c18.SC2Replay
55,SortOf,59,8507,2700,25.0,98.0,489,Zerg,1,replays/1stRun\04e5747302304279bbaf13d298237c18.SC2Replay
56,RiSky,80,41331,11250,119.0,230.0,822,Zerg,0,replays/1stRun\0a07fed3ad8749a4b2c64be5a205c9a0.SC2Replay
57,InZaNe,73,42604,6925,103.0,180.0,959,Terraner,1,replays/1stRun\0a07fed3ad8749a4b2c64be5a205c9a0.SC2Replay
58,NeXa,23,18724,1025,13.0,71.0,626,Protoss,0,replays/1stRun\0a0cdd1b8f9f4bf7a79793f656c4165c.SC2Replay
59,Buster,43,17924,1525,23.0,94.0,680,Terraner,1,replays/1stRun\0a0cdd1b8f9f4bf7a79793f656c4165c.SC2Replay
60,SortOf,27,10158,1500,14.0,52.0,419,Zerg,0,replays/1stRun\0a0d156fb323465a9da45aadafac23f8.SC2Replay
61,TIME,28,10099,1450,19.0,55.0,419,Terraner,1,replays/1stRun\0a0d156fb323465a9da45aadafac23f8.SC2Replay
62,Optimus,47,15014,3700,53.0,118.0,682,Terraner,0,replays/1stRun\0a21c3752d6d44019f0682cec09dca01.SC2Replay
63,Bunny,57,23151,1875,25.0,109.0,687,Terraner,1,replays/1stRun\0a21c3752d6d44019f0682cec09dca01.SC2Replay
64,iGiA,50,55971,9500,123.0,208.0,1085,Zerg,0,replays/1stRun\0a2654dba651453bba0e5aacd81f86e5.SC2Replay
65,iGXiGua,66,39532,11350,139.0,206.0,874,Zerg,1,replays/1stRun\0a2654dba651453bba0e5aacd81f86e5.SC2Replay
66,HaPe,25,9988,550,8.0,47.0,315,Protoss,1,replays/1stRun\0a3222d3532e49a5b350a715b7e1dd41.SC2Replay
67,WhiteWolf,22,4773,400,7.0,23.0,301,Terraner,0,replays/1stRun\0a3222d3532e49a5b350a715b7e1dd41.SC2Replay
68,PandaBearMe,25,5371,1575,16.5,52.0,321,Zerg,1,replays/1stRun\0a3a125d7c7a4fdc8f3e8c231bcd574d.SC2Replay
69,Livibee,32,6997,1175,10.5,52.0,320,Zerg,0,replays/1stRun\0a3a125d7c7a4fdc8f3e8c231bcd574d.SC2Replay
70,PtitDrogo,52,18749,2050,22.0,117.0,547,Protoss,1,replays/1stRun\0a3f679d3f764ba5bcace0cc212283f6.SC2Replay
71,Zanster,54,13610,5600,75.0,154.0,581,Zerg,0,replays/1stRun\0a3f679d3f764ba5bcace0cc212283f6.SC2Replay
72,Semper,70,25722,2800,43.0,133.0,677,Terraner,1,replays/1stRun\0a4018f1fd1c4bbebe7ade69b266ad3e.SC2Replay
73,GAMETIME,68,25800,4375,39.5,160.0,676,Zerg,0,replays/1stRun\0a4018f1fd1c4bbebe7ade69b266ad3e.SC2Replay
74,MaNa,68,17582,1050,12.0,125.0,571,Protoss,1,replays/1stRun\0a5d5a0d30434374a8b68439eb77e8e6.SC2Replay
