,player,total_workers,total_marines
0,Optimus,35,11
1,INnoVation,31,7
2,uThermaL,33,5
3,Cuddlebear,32,16
4,SpeCial,37,11
5,InZaNe,42,18
6,Buster,28,9
7,TIME,28,4
8,Bunny,36,5
9,Semper,41,6
10,Happy,40,5
11,TYTY,41,13
12,HeroMarine,43,1
13,Ziggy,26,0
14,TIME,26,10
15,Kelazhur,39,17
16,Semper,32,1
17,MaSa,26,0
18,CMStormPolt,40,9
19,uThermal,44,0
20,liquidthermy,41,1
21,FanTaSy,40,13
22,SpeCial,40,4
23,Kelazhur,36,8
24,aLive,40,7
25,Semper,34,7
26,Kelazhur,27,6
27,JJAKJI,33,0
28,INnoVation,42,16
29,SpeCial,34,0
30,ByuN,34,13
31,HuT,41,3
32,Kozan,31,4
33,SpeCial,31,11
34,Dayshi,39,5
35,uThermal,37,6
36,HeltEn,36,16
37,uThermal,42,12
38,Clem,32,11
39,Kelazhur,41,2
40,Dolan,35,10
41,HeRoMaRinE,38,6
42,TYTY,27,3
43,Kelazhur,39,7
44,MaSa,41,18
45,SpeCial,42,10
46,SpeCial,39,3
47,iaguz,40,11
48,Bunny,40,1
49,FanTaSy,21,6
50,Polt,13,0
51,Polt,41,11
52,Cuddlebear,40,17
53,Expect,39,8
54,SpeCial,41,1
55,SpeCial,44,4
56,Pokebunny,34,4
57,SpeCial,40,3
58,liquidthermy,34,9
59,Ryung,32,10
60,MMA,31,2
61,thermy,24,0
62,Bunny,36,7
63,MMA,41,11
64,iaguz,41,4
65,Bunny,37,7
66,Polt,44,10
67,Kelazhur,27,0
68,Ziggy,41,2
69,Bunny,40,17
70,Raze,23,3
71,uThermal,24,0
72,iaguz,40,18
73,aLive,37,9
74,MMA,40,12
75,uThermal,12,0
76,TYTY,39,8
77,SpeCial,39,9
78,uThermal,42,13
79,Bunny,37,11
80,INnoVation,24,0
81,Time,32,0
82,GuMiho,41,6
83,ByuN,35,0
84,soul,36,6
85,Cuddlebear,25,12
86,Ryung,42,10
87,uThermal,12,0
88,FanTaSy,41,1
89,Ryung,42,8
90,CMStormPolt,27,16
91,soul,39,10
92,InZaNe,42,2
93,liquidthermy,40,1
94,Kelazhur,39,12
95,iaguz,32,2
