,player,total_workers,total_marines
0,DnS,32,14
1,iGiA,17,83
2,PiLiPiLi,-5,6
3,Optimus,42,33
4,Sen,21,66
5,Zest,43,9
6,MaNa,39,10
7,Zanster,59,89
8,Zest,25,10
9,INnoVation,39,29
10,Snute,82,62
11,LiquidMaNa,0,6
12,puCK,41,10
13,PiLiPiLi,31,13
14,Nerchio,0,117
15,Neeb,49,10
16,Jig,-2,49
17,uThermaL,35,30
18,PiLiPiLi,40,8
19,PartinG,15,7
20,CalebAracous,56,67
21,Cuddlebear,47,37
22,Reynor,16,82
23,InZaNe,43,39
24,Buster,37,29
25,TIME,17,25
26,Bunny,38,27
27,iGXiGua,52,59
28,HaPe,15,7
29,PandaBearMe,18,121
30,PtitDrogo,32,9
31,Semper,35,32
32,MaNa,65,6
33,Happy,28,36
34,Serral,58,76
35,LiquidMaNa,28,11
36,OGZest,58,10
37,Reynor,52,101
38,Lambo,45,96
39,Neeb,41,10
40,AdminA,45,6
41,Serral,75,33
42,Serral,53,67
43,Scarlett,2,56
44,PiLiPiLi,37,7
45,Lambo,74,49
46,DnS,46,9
47,Lambo,63,60
48,TYTY,46,44
49,HeroMarine,51,24
50,Ziggy,-2,12
51,HuK,38,7
52,TIME,22,34
53,Kelazhur,39,41
54,viOLet,31,110
55,Sen,50,80
56,GOStephano,45,92
57,Bly,40,99
58,Elazer,52,59
59,Serral,19,47
60,Stephano,51,130
61,Nerchio,68,52
62,Serral,47,100
63,Semper,19,23
64,FeaR,37,5
65,llllllllllll,41,6
66,Solar,70,55
67,MaSa,16,8
68,CMStormPolt,24,33
69,Zanster,63,65
70,Hymy,45,6
71,puCK,35,4
72,DnS,29,8
73,uThermal,17,24
74,Harstem,50,6
75,liquidthermy,23,27
76,FanTaSy,19,32
77,SpeCial,38,40
78,PiLiPiLi,27,8
79,Kelazhur,41,42
80,aLive,48,37
81,PtitDrogo,47,11
82,Solar,30,149
83,Harstem,37,10
84,Semper,19,20
85,Kelazhur,26,26
86,TooDming,25,51
87,JJAKJI,35,28
88,INnoVation,42,29
89,Solar,53,75
90,SpeCial,51,24
91,ByuN,25,44
92,HuT,34,48
93,OGZest,64,9
94,LiquidSnute,40,97
95,HellraiseR,45,7
96,Stats,44,5
97,Kozan,11,24
98,Neeb,5,7
99,Scarlett,8,74
100,soO,38,126
101,State,16,11
102,Dark,43,71
103,SpeCial,28,21
104,Serral,72,70
105,Serral,33,66
106,DisK,35,8
107,LiquidMaNa,8,6
108,Has,-1,5
109,soO,43,91
110,JonSnow,39,73
111,Elazer,57,98
112,Elazer,57,61
113,Malcolm,4,96
114,AxImpact,48,77
115,Serral,8,107
116,Lambo,-10,39
117,Neeb,48,7
118,MightyKiwi,50,90
119,LiquidSnute,12,1
120,SirRobin,56,63
121,Dayshi,35,40
122,HellraiseR,39,8
123,Scarlett,68,47
124,uThermal,35,34
125,HeltEn,33,45
126,Nerchio,36,67
127,Harstem,21,8
128,uThermal,47,52
129,Clem,41,36
130,Lambo,25,57
131,Daydreamer,10,1
132,Lambo,59,65
133,Harstem,22,9
134,Namshar,65,72
