,player,total_workers,total_army,fraction,winner,replay_filename
0,DnS,66,2625,P,1,replays/firstRun\001bf0a2e6624544b051e1ebf649b480.SC2Replay
1,Clem,46,5825,T,0,replays/firstRun\001bf0a2e6624544b051e1ebf649b480.SC2Replay
2,iGiA,45,1400,Z,1,replays/firstRun\003c1f2e362242c698c21063bfcc4d6f.SC2Replay
3,iGXiGua,34,2125,Z,0,replays/firstRun\003c1f2e362242c698c21063bfcc4d6f.SC2Replay
4,HeroMarine,26,300,T,0,replays/firstRun\008ec6a2ed6040388074d60d9414aec3.SC2Replay
5,TYTY,24,100,T,1,replays/firstRun\008ec6a2ed6040388074d60d9414aec3.SC2Replay
6,viOLet,62,6650,Z,1,replays/firstRun\009b567c50e1468ca20af4aa3726f6bd.SC2Replay
7,MarineLorD,68,3225,T,0,replays/firstRun\009b567c50e1468ca20af4aa3726f6bd.SC2Replay
8,State,27,550,P,0,replays/firstRun\00b612edc78c4a818fa4405db3bfe3fd.SC2Replay
9,PiLiPiLi,23,600,P,1,replays/firstRun\00b612edc78c4a818fa4405db3bfe3fd.SC2Replay
10,Optimus,66,8000,T,1,replays/firstRun\00c26072d8ec4c699dab9154900aa769.SC2Replay
11,LiquidTLO,74,12300,Z,0,replays/firstRun\00c26072d8ec4c699dab9154900aa769.SC2Replay
12,Sen,37,1450,Z,1,replays/firstRun\00d09303c8c54d52980881fdac912b8f.SC2Replay
13,Rose,35,950,Z,0,replays/firstRun\00d09303c8c54d52980881fdac912b8f.SC2Replay
14,Zest,64,2525,P,1,replays/firstRun\00f9958cffb34e24a277e76ee34c211f.SC2Replay
15,Stephano,64,5375,Z,0,replays/firstRun\00f9958cffb34e24a277e76ee34c211f.SC2Replay
16,MaNa,28,1075,P,1,replays/firstRun\00fdc8fa93474b1196b9a36188f21bc8.SC2Replay
17,Caliber,23,1250,P,0,replays/firstRun\00fdc8fa93474b1196b9a36188f21bc8.SC2Replay
18,Zanster,67,5000,Z,1,replays/firstRun\01a72a97f1d84e9db6462f70119e5804.SC2Replay
19,Drunkenboi,54,2950,T,0,replays/firstRun\01a72a97f1d84e9db6462f70119e5804.SC2Replay
20,PiLiPiLi,23,1100,P,0,replays/firstRun\01ade5c6c13d4659b1957558c045d3bf.SC2Replay
21,Zest,28,1250,P,1,replays/firstRun\01ade5c6c13d4659b1957558c045d3bf.SC2Replay
22,GogojOey,36,2100,Z,0,replays/firstRun\01e941712e92471399312890e265881a.SC2Replay
23,INnoVation,35,1750,T,1,replays/firstRun\01e941712e92471399312890e265881a.SC2Replay
24,Snute,82,2400,Z,1,replays/firstRun\01f46a6dc31c49a782e52e13fc9d2b6b.SC2Replay
25,Harstem,67,1425,P,0,replays/firstRun\01f46a6dc31c49a782e52e13fc9d2b6b.SC2Replay
26,Patience,26,700,P,0,replays/firstRun\01feb8bef10842d2858a1551df038074.SC2Replay
27,LiquidMaNa,25,350,P,1,replays/firstRun\01feb8bef10842d2858a1551df038074.SC2Replay
28,Drunkenboi,52,6625,T,0,replays/firstRun\02bfc63bdd8b4235b4caed6f26d7123a.SC2Replay
29,puCK,59,3400,P,1,replays/firstRun\02bfc63bdd8b4235b4caed6f26d7123a.SC2Replay
30,TRUE,40,3750,Z,0,replays/firstRun\02d0e6589f2a407b9bbc7d667fcd9416.SC2Replay
31,PiLiPiLi,62,4500,P,1,replays/firstRun\02d0e6589f2a407b9bbc7d667fcd9416.SC2Replay
32,Nerchio,25,825,Z,1,replays/firstRun\02d82d7cd181492b82a85db9ce2e79ec.SC2Replay
33,Zanster,15,1050,Z,0,replays/firstRun\02d82d7cd181492b82a85db9ce2e79ec.SC2Replay
34,Neeb,73,2175,P,1,replays/firstRun\02e7514926a94550a52d4a2417650a43.SC2Replay
35,TLO,65,7575,Z,0,replays/firstRun\02e7514926a94550a52d4a2417650a43.SC2Replay
36,Silky,24,750,Z,0,replays/firstRun\02ef018e69a843adb5d191fb569cbff6.SC2Replay
37,Jig,16,1000,Z,1,replays/firstRun\02ef018e69a843adb5d191fb569cbff6.SC2Replay
38,Reynor,76,4200,Z,0,replays/firstRun\03c51e598f184660a41ce9ac42ee42c2.SC2Replay
39,uThermaL,65,3625,T,1,replays/firstRun\03c51e598f184660a41ce9ac42ee42c2.SC2Replay
40,PiLiPiLi,42,950,P,1,replays/firstRun\03cb436d01594b9291be19f1a525b179.SC2Replay
41,State,37,1050,P,0,replays/firstRun\03cb436d01594b9291be19f1a525b179.SC2Replay
42,PartinG,24,1100,P,1,replays/firstRun\03d3f9214df84013bb8082b2eb28a378.SC2Replay
43,Patience,23,875,P,0,replays/firstRun\03d3f9214df84013bb8082b2eb28a378.SC2Replay
44,CalebAracous,56,6950,Z,1,replays/firstRun\03e38df400b84355ba74441c92a9f0f0.SC2Replay
45,DisK,64,1800,P,0,replays/firstRun\03e38df400b84355ba74441c92a9f0f0.SC2Replay
46,Pure,47,725,P,0,replays/firstRun\03eb1855da0e46a7bd83eefc4e12d98c.SC2Replay
47,Cuddlebear,42,975,T,1,replays/firstRun\03eb1855da0e46a7bd83eefc4e12d98c.SC2Replay
48,TIME,31,550,T,0,replays/firstRun\03ec7b932cfd4f83bc0946466d1da66c.SC2Replay
49,Reynor,35,1375,Z,1,replays/firstRun\03ec7b932cfd4f83bc0946466d1da66c.SC2Replay
50,LiquidSnute,59,19150,Z,1,replays/firstRun\04ab6eb69a6c4f919839938101a8a0b0.SC2Replay
51,aLive,63,14450,T,0,replays/firstRun\04ab6eb69a6c4f919839938101a8a0b0.SC2Replay
52,Snute,74,5475,Z,1,replays/firstRun\04af96ad18974a37a4e2c53d5c3975af.SC2Replay
53,Cuddlebear,73,2500,T,0,replays/firstRun\04af96ad18974a37a4e2c53d5c3975af.SC2Replay
54,SpeCial,67,7625,T,1,replays/firstRun\04b6f08f4b9f46f3bc62c170ddaa579f.SC2Replay
55,Neeb,73,5150,P,0,replays/firstRun\04b6f08f4b9f46f3bc62c170ddaa579f.SC2Replay
56,Elazer,51,4950,Z,0,replays/firstRun\04cead413e7a4e479f6786d57cdc207b.SC2Replay
57,soO,54,4050,Z,1,replays/firstRun\04cead413e7a4e479f6786d57cdc207b.SC2Replay
58,RAIL,48,1000,P,0,replays/firstRun\04e5747302304279bbaf13d298237c18.SC2Replay
59,SortOf,59,2700,Z,1,replays/firstRun\04e5747302304279bbaf13d298237c18.SC2Replay
60,Pokebunny,64,2500,T,0,replays/firstRun\05a19cd09aab4a389dacb48bf54bd4dc.SC2Replay
61,TLO,73,5625,Z,1,replays/firstRun\05a19cd09aab4a389dacb48bf54bd4dc.SC2Replay
62,Lambo,75,2775,Z,1,replays/firstRun\05a783f074e246a5ae63576e57f76594.SC2Replay
63,Kelazhur,51,2150,T,0,replays/firstRun\05a783f074e246a5ae63576e57f76594.SC2Replay
64,MaSa,72,3800,T,0,replays/firstRun\05aa5e62b1964a64885bd16e796adca2.SC2Replay
65,TRUE,74,8000,Z,1,replays/firstRun\05aa5e62b1964a64885bd16e796adca2.SC2Replay
66,LiquidTLO,12,0,T,1,replays/firstRun\05d0fcc8138d442cac40d973e02a44f3.SC2Replay
67,iGiA,69,6925,Z,1,replays/firstRun\05dc47294dda49bfa6da51af9f1e8276.SC2Replay
68,Gentleprobe,68,2800,P,0,replays/firstRun\05dc47294dda49bfa6da51af9f1e8276.SC2Replay
69,ShoWTimE,58,2200,P,0,replays/firstRun\05e16d0dd8e4465387bd244dffb71896.SC2Replay
70,Stats,57,2100,P,1,replays/firstRun\05e16d0dd8e4465387bd244dffb71896.SC2Replay
71,soul,71,4900,T,0,replays/firstRun\05efd230cd3e4cb9b0274ece02c61342.SC2Replay
72,OGZest,72,1700,P,1,replays/firstRun\05efd230cd3e4cb9b0274ece02c61342.SC2Replay
73,GOStephano,68,4425,Z,0,replays/firstRun\05f70cf4a1424463b247415e9e69f371.SC2Replay
74,lIIllllIIlll,72,2475,T,1,replays/firstRun\05f70cf4a1424463b247415e9e69f371.SC2Replay
