,player,total_workers,total_marines
0,iGiA,45,1400
1,Sen,37,1450
2,Zanster,67,5000
3,Snute,82,2400
4,Nerchio,25,825
5,Jig,16,1000
6,CalebAracous,56,6950
7,Reynor,35,1375
8,LiquidSnute,59,19150
9,Snute,74,5475
10,soO,54,4050
11,SortOf,59,2700
12,iGXiGua,66,11350
13,PandaBearMe,25,1575
14,Serral,64,2375
15,Reynor,63,4175
16,Lambo,53,2600
17,Serral,80,8725
18,Serral,68,3325
19,Scarlett,24,650
20,Lambo,73,2725
21,Lambo,66,5675
22,viOLet,44,1275
23,Sen,74,9500
24,GOStephano,48,2550
25,Bly,72,7675
26,Elazer,53,5675
27,Serral,26,850
28,Stephano,56,4325
29,Nerchio,63,8750
30,Serral,68,3525
31,Solar,67,10200
32,Zanster,68,6800
33,Solar,50,1625
34,TooDming,53,3175
35,Solar,62,10600
36,LiquidSnute,53,9125
37,Scarlett,20,900
38,soO,51,2125
39,Dark,50,5450
40,Serral,78,6800
41,Serral,57,10525
42,soO,62,9625
43,JonSnow,69,5075
44,Elazer,61,6025
45,Elazer,75,6825
46,Malcolm,19,1850
47,AxImpact,56,2150
48,Serral,32,1375
49,Lambo,15,700
50,MightyKiwi,58,5325
51,LiquidSnute,12,100
52,SirRobin,74,3975
53,Scarlett,65,2475
54,Nerchio,37,3800
55,Lambo,47,10850
56,Lambo,66,3475
57,Namshar,52,2650
58,Hydra,68,5875
59,viOLet,29,1275
60,ZooWhaleTail,13,1125
61,Serral,69,17500
62,Elazer,69,3750
63,Petraeus,29,1500
64,Matiz,78,11775
65,FireCake,22,825
66,Elazer,65,4950
67,Scarlett,46,3375
68,RiSky,81,6300
69,LiquidSnute,63,9400
70,daydrA,21,950
71,BLY,59,6750
72,ZhuGeLiang,48,2350
73,PandaBearMe,32,1275
74,Elazer,41,5125
75,TRUE,14,1500
76,SortOf,50,1800
77,TSGSolar,42,1800
78,Serral,67,9850
79,Lambo,66,4250
80,BLY,50,3375
81,JonSnow,80,7625
82,Serral,40,1550
83,SortOf,55,2450
84,PandaBearMe,17,850
85,Denver,68,5650
86,Nerchio,28,1000
87,Lambo,69,7475
88,Elroye,20,775
89,Zanster,77,12000
90,Nerchio,43,1500
91,Jig,76,12050
92,SortOf,74,4250
93,Denver,46,1500
94,GogojOey,31,1050
95,Serral,70,6675
96,LiquidTLO,13,1050
97,Guru,20,750
98,GAMETIME,52,2475
99,Solar,61,2750
100,RiSky,60,8350
101,Namshar,34,1375
102,Reynor,83,5450
103,MightyKiwi,38,2050
104,TLO,69,3200
105,miwa,28,2425
106,Lambo,33,1800
107,BLY,60,8550
108,TSGSolar,51,2125
109,TooDming,28,775
110,Lambo,65,11750
111,Solar,17,500
112,Snute,42,1750
113,SouLeer,16,750
114,Serral,68,6850
115,Serral,38,2525
116,Snute,33,1600
117,iGXiGua,45,3050
118,Guru,33,1900
119,Elazer,44,1875
120,Lambo,70,4375
121,JonSnow,59,4700
122,Bly,33,1950
123,MDStephano,63,8050
124,soO,49,2775
125,Scarlett,43,2125
126,Serral,50,1550
127,TRUE,37,2250
128,Nerchio,30,1825
129,Nerchio,62,10550
130,Lambo,56,4375
131,soO,36,1900
132,soO,31,2100
133,JonSnow,49,3050
134,Elazer,45,1950
135,Zanster,54,3275
136,Nerchio,73,8025
137,Namshar,76,8250
138,Serral,70,4425
139,Guru,84,8800
140,Rose,50,1425
141,TRUE,34,2850
142,iGiA,65,4600
143,TRUE,18,550
144,Toodming,23,1350
145,Namshar,73,5500
146,TRUE,76,10500
147,MeomaikA,52,2000
148,Namshar,57,2725
149,Solar,43,3175
150,Hydra,64,8250
151,Cham,53,5200
152,SortOf,44,4000
153,Nerchio,69,7400
154,JonSnow,39,1300
155,Nerchio,66,4075
156,Snute,76,10300
157,LiquidSnute,51,1725
158,Elazer,37,1625
159,Snute,65,3300
160,Scarlett,67,6625
161,LiquidSnute,44,1950
162,Cham,40,1700
163,Scarlett,24,1850
164,GAMETIME,51,1200
165,Lambo,87,8600
166,Lambo,78,4075
167,SouLeer,26,1550
168,Lambo,61,12900
169,Snute,46,5550
170,Scarlett,66,10300
171,Zanster,25,1325
172,Zanster,59,6950
173,viOLet,39,1100
174,Petraeus,50,2250
175,TSGSolar,62,9000
176,Snute,49,4900
177,Serral,40,2950
178,Elazer,84,7500
179,Elazer,43,1200
180,Nerchio,27,1225
181,Lambo,62,2400
182,Zanster,52,5250
183,Nerchio,43,2100
184,losira,39,1425
185,Solar,18,450
186,Lambo,72,6350
187,Elazer,80,6600
188,Zanster,42,1050
189,viOLet,25,3025
190,JonSnow,69,4425
191,Scarlett,53,1275
192,MeomaikA,67,8750
193,Nerchio,79,9450
194,Cham,67,2800
195,GOStephano,57,3225
196,ViBE,41,1350
197,TheWagon,74,7200
198,Solar,49,1900
199,Namshar,39,1275
200,Lambo,24,1350
201,GOStephano,78,10575
202,TheWagon,50,6000
203,PiG,33,1250
204,hydra,69,9550
