,player,total_workers,total_army
0,iGiA,45,1400
1,iGXiGua,34,2125
2,viOLet,62,6650
3,LiquidTLO,74,12300
4,Sen,37,1450
5,Rose,35,950
6,Stephano,64,5375
7,Zanster,67,5000
8,GogojOey,36,2100
9,Snute,82,2400
10,TRUE,40,3750
11,Nerchio,25,825
12,Zanster,15,1050
13,TLO,65,7575
14,Silky,24,750
15,Jig,16,1000
16,Reynor,76,4200
17,CalebAracous,56,6950
18,Reynor,35,1375
19,LiquidSnute,59,19150
20,Snute,74,5475
21,Elazer,51,4950
22,soO,54,4050
23,SortOf,59,2700
24,TLO,73,5625
25,Lambo,75,2775
26,TRUE,74,8000
27,iGiA,69,6925
28,GOStephano,68,4425
29,ZhuGeLiang,61,10275
30,JonSnow,66,7875
31,Revolution,17,1025
32,Zanster,31,1525
33,Guru,64,7750
34,Fist,42,1650
35,Rex,49,1625
36,TooDming,65,3325
37,Elazer,42,2100
38,Scarlett,45,2125
39,Solar,56,1675
40,Zanster,52,6000
41,Nerchio,61,7375
42,eonblu,58,3200
43,PandaBearMe,44,1050
44,Elazer,27,1050
45,Serral,41,3175
46,Elazer,47,5225
47,Soulkey,58,2850
48,RiSky,80,11250
49,SortOf,27,1500
50,iGiA,50,9500
51,iGXiGua,66,11350
52,PandaBearMe,25,1575
53,Livibee,32,1175
54,Zanster,54,5600
55,GAMETIME,68,4375
56,LiquidSnute,59,5650
57,Serral,64,2375
58,Reynor,63,4175
59,Lambo,53,2600
60,Reynor,63,4625
61,Serral,80,8725
62,Scarlett,68,3600
63,Serral,68,3325
64,Scarlett,24,650
65,Cham,48,4725
66,Lambo,73,2725
67,Zanster,76,8325
68,Lambo,66,5675
69,Reynor,81,11700
70,Allaryce,21,700
71,PiG,81,7375
72,Nerchio,79,6650
73,viOLet,44,1275
74,Sen,74,9500
75,Rex,57,10300
76,GOStephano,48,2550
77,Bly,72,7675
78,Elazer,53,5675
79,Serral,26,850
80,Elazer,14,1350
81,Stephano,56,4325
82,Nerchio,63,8750
83,Scarlett,59,3100
84,Serral,68,3525
85,Warren,46,2450
86,SouLeer,60,4650
87,Solar,67,10200
88,SirRobin,21,200
89,viOLet,54,4300
90,Zanster,68,6800
91,ZergGirl,82,9075
92,Nerchio,68,3250
93,GOStephano,64,9075
94,RlSky,52,2475
95,LiquidSnute,49,1900
96,Bly,70,4500
97,TRUE,58,4925
98,Solar,50,1625
99,Snute,37,1650
100,TooDming,53,3175
101,Solar,62,10600
102,LiquidSnute,55,10400
103,Soulkey,52,2050
104,JonSnow,48,2550
105,LiquidSnute,53,9125
106,Serral,52,6300
107,Nerchio,49,1450
108,Scarlett,20,900
109,soO,51,2125
110,Dark,50,5450
111,Serral,78,6800
112,Serral,57,10525
113,soO,56,10750
114,Mackintac,42,4300
115,TLO,27,2600
116,soO,62,9625
117,Solar,64,9750
118,JonSnow,69,5075
119,Elazer,61,6025
120,Elazer,75,6825
