,player,total_workers,total_army_value,total_army,fraction,winner,replay_filename
0,DnS,66,2625,11,P,1,replays/1stRun\001bf0a2e6624544b051e1ebf649b480.SC2Replay
1,Clem,46,5825,65,T,0,replays/1stRun\001bf0a2e6624544b051e1ebf649b480.SC2Replay
2,iGiA,45,1400,16,Z,1,replays/1stRun\003c1f2e362242c698c21063bfcc4d6f.SC2Replay
3,iGXiGua,34,2125,50,Z,0,replays/1stRun\003c1f2e362242c698c21063bfcc4d6f.SC2Replay
4,State,27,550,3,P,0,replays/1stRun\00b612edc78c4a818fa4405db3bfe3fd.SC2Replay
5,PiLiPiLi,23,600,4,P,1,replays/1stRun\00b612edc78c4a818fa4405db3bfe3fd.SC2Replay
6,Optimus,66,8000,88,T,1,replays/1stRun\00c26072d8ec4c699dab9154900aa769.SC2Replay
7,LiquidTLO,74,12300,181,Z,0,replays/1stRun\00c26072d8ec4c699dab9154900aa769.SC2Replay
8,Sen,37,1450,24,Z,1,replays/1stRun\00d09303c8c54d52980881fdac912b8f.SC2Replay
9,Rose,35,950,13,Z,0,replays/1stRun\00d09303c8c54d52980881fdac912b8f.SC2Replay
10,Zest,64,2525,9,P,1,replays/1stRun\00f9958cffb34e24a277e76ee34c211f.SC2Replay
11,Stephano,64,5375,43,Z,0,replays/1stRun\00f9958cffb34e24a277e76ee34c211f.SC2Replay
12,MaNa,28,1075,6,P,1,replays/1stRun\00fdc8fa93474b1196b9a36188f21bc8.SC2Replay
13,Caliber,23,1250,7,P,0,replays/1stRun\00fdc8fa93474b1196b9a36188f21bc8.SC2Replay
14,Zanster,67,5000,70,Z,1,replays/1stRun\01a72a97f1d84e9db6462f70119e5804.SC2Replay
15,Drunkenboi,54,2950,35,T,0,replays/1stRun\01a72a97f1d84e9db6462f70119e5804.SC2Replay
16,PiLiPiLi,23,1100,5,P,0,replays/1stRun\01ade5c6c13d4659b1957558c045d3bf.SC2Replay
17,Zest,28,1250,7,P,1,replays/1stRun\01ade5c6c13d4659b1957558c045d3bf.SC2Replay
18,GogojOey,36,2100,21,Z,0,replays/1stRun\01e941712e92471399312890e265881a.SC2Replay
19,INnoVation,35,1750,16,T,1,replays/1stRun\01e941712e92471399312890e265881a.SC2Replay
20,Snute,82,2400,33,Z,1,replays/1stRun\01f46a6dc31c49a782e52e13fc9d2b6b.SC2Replay
