,player,total_workers,resource_mining,total_army_value,total_army,supply,time,fraction,winner,replay_filename
0,HeroMarine,26,4439,300,4.0,31.0,254,T,0,replays/2ndRun\008ec6a2ed6040388074d60d9414aec3.SC2Replay
1,TYTY,24,3757,100,1.0,31.0,232,T,1,replays/2ndRun\008ec6a2ed6040388074d60d9414aec3.SC2Replay
2,viOLet,62,21694,6650,90.0,154.0,695,Z,1,replays/2ndRun\009b567c50e1468ca20af4aa3726f6bd.SC2Replay
3,MarineLorD,68,21293,3225,52.0,117.0,688,T,0,replays/2ndRun\009b567c50e1468ca20af4aa3726f6bd.SC2Replay
4,Pokebunny,64,26976,2500,42.0,117.0,687,T,0,replays/2ndRun\05a19cd09aab4a389dacb48bf54bd4dc.SC2Replay
5,TLO,73,33372,5625,62.5,152.0,687,Z,1,replays/2ndRun\05a19cd09aab4a389dacb48bf54bd4dc.SC2Replay
6,Lambo,75,14727,2775,21.5,98.0,548,Z,1,replays/2ndRun\05a783f074e246a5ae63576e57f76594.SC2Replay
7,Kelazhur,51,14722,2150,35.0,102.0,548,T,0,replays/2ndRun\05a783f074e246a5ae63576e57f76594.SC2Replay
8,MaSa,72,26796,3800,61.0,133.0,775,T,0,replays/2ndRun\05aa5e62b1964a64885bd16e796adca2.SC2Replay
9,TRUE,74,36853,8000,85.0,166.0,830,Z,1,replays/2ndRun\05aa5e62b1964a64885bd16e796adca2.SC2Replay
10,LiquidTLO,12,100,0,0.0,15.0,0,T,1,replays/2ndRun\05d0fcc8138d442cac40d973e02a44f3.SC2Replay
11,iGiA,69,23609,6925,72.5,176.0,662,Z,1,replays/2ndRun\05dc47294dda49bfa6da51af9f1e8276.SC2Replay
12,Gentleprobe,68,23670,2800,25.0,141.0,610,P,0,replays/2ndRun\05dc47294dda49bfa6da51af9f1e8276.SC2Replay
13,ShoWTimE,58,19588,2200,25.0,125.0,712,P,0,replays/2ndRun\05e16d0dd8e4465387bd244dffb71896.SC2Replay
14,Stats,57,36265,2100,24.0,165.0,782,P,1,replays/2ndRun\05e16d0dd8e4465387bd244dffb71896.SC2Replay
15,soul,71,22096,4900,69.0,181.0,745,T,0,replays/2ndRun\05efd230cd3e4cb9b0274ece02c61342.SC2Replay
16,OGZest,72,32056,1700,20.0,164.0,735,P,1,replays/2ndRun\05efd230cd3e4cb9b0274ece02c61342.SC2Replay
17,GOStephano,68,17315,4425,44.5,160.0,588,Z,0,replays/2ndRun\05f70cf4a1424463b247415e9e69f371.SC2Replay
18,lIIllllIIlll,72,16457,2475,43.0,133.0,578,T,1,replays/2ndRun\05f70cf4a1424463b247415e9e69f371.SC2Replay
19,ZhuGeLiang,61,46157,10275,140.5,208.0,1028,Z,1,replays/2ndRun\05f9e4aa68c94d69a3933bab19966bf0.SC2Replay
20,JonSnow,66,24373,7875,95.5,202.0,708,Z,0,replays/2ndRun\05f9e4aa68c94d69a3933bab19966bf0.SC2Replay
21,ByuN,50,16439,2000,36.0,102.0,581,T,0,replays/2ndRun\06b5b273d51748efb78de8f79bf9910b.SC2Replay
22,Stats,61,15408,2300,22.0,109.0,573,P,1,replays/2ndRun\06b5b273d51748efb78de8f79bf9910b.SC2Replay
23,Raze,30,11971,1375,16.0,62.0,392,P,0,replays/2ndRun\06c2145c1cf243269e050c1d58d8e674.SC2Replay
24,Dolan,28,8379,1700,24.0,63.0,395,T,1,replays/2ndRun\06c2145c1cf243269e050c1d58d8e674.SC2Replay
25,Harstem,63,19005,5550,57.0,149.0,697,P,1,replays/2ndRun\06c267255b5e4caeb47ef416a1e1a196.SC2Replay
26,Stats,67,22695,2575,28.0,133.0,691,P,0,replays/2ndRun\06c267255b5e4caeb47ef416a1e1a196.SC2Replay
27,Revolution,17,12003,1025,9.5,30.0,408,Z,0,replays/2ndRun\06d46743f9a04586a5e2ff880014295d.SC2Replay
28,Zanster,31,7844,1525,12.5,52.0,408,Z,1,replays/2ndRun\06d46743f9a04586a5e2ff880014295d.SC2Replay
29,Guru,64,35767,7750,83.0,154.0,898,Z,1,replays/2ndRun\06de1d29e67b4c61b88bec62744ece06.SC2Replay
30,MaNa,46,13338,700,10.0,78.0,480,P,0,replays/2ndRun\06de1d29e67b4c61b88bec62744ece06.SC2Replay
31,Fist,42,11453,1650,15.0,60.0,430,Z,0,replays/2ndRun\06e105e1a8ab4d0fb17b3c6e7d29b7d6.SC2Replay
32,Rex,49,8380,1625,12.5,68.0,413,Z,1,replays/2ndRun\06e105e1a8ab4d0fb17b3c6e7d29b7d6.SC2Replay
33,TooDming,65,9997,3325,34.5,106.0,511,Z,1,replays/2ndRun\06eefb9f1975438693fa17d2065ea1de.SC2Replay
34,xKawaiian,38,11365,2150,37.0,94.0,525,T,0,replays/2ndRun\06eefb9f1975438693fa17d2065ea1de.SC2Replay
35,Elazer,42,10931,2100,21.0,76.0,406,Z,1,replays/2ndRun\06f0d1c9759045f192070085ab23c24a.SC2Replay
36,Scarlett,45,9833,2125,19.5,74.0,415,Z,0,replays/2ndRun\06f0d1c9759045f192070085ab23c24a.SC2Replay
37,PtitDrogo,25,5887,1225,14.0,47.0,299,P,1,replays/2ndRun\06fc07c82ef345e1a6a7a1a89eecc3bc.SC2Replay
38,OGZest,25,5660,725,9.0,39.0,310,P,0,replays/2ndRun\06fc07c82ef345e1a6a7a1a89eecc3bc.SC2Replay
39,ShaDoWn,48,9736,1000,11.0,70.0,417,P,0,replays/2ndRun\07d561fb0cdf4a258f2b12ba4dadf916.SC2Replay
40,Solar,56,9671,1675,11.5,82.0,425,Z,1,replays/2ndRun\07d561fb0cdf4a258f2b12ba4dadf916.SC2Replay
41,Optimus,67,23701,2375,35.0,125.0,750,T,1,replays/2ndRun\07d6911f8fa84e47969f1df1c86c2139.SC2Replay
42,Zanster,52,23940,6000,73.0,146.0,735,Z,0,replays/2ndRun\07d6911f8fa84e47969f1df1c86c2139.SC2Replay
43,Nerchio,61,41044,7375,78.5,200.0,920,Z,0,replays/2ndRun\07e4640be7784ef4bed54019d192636f.SC2Replay
44,uThermal,68,38635,4925,74.0,165.0,832,T,1,replays/2ndRun\07e4640be7784ef4bed54019d192636f.SC2Replay
45,Semper,16,560,0,0.0,23.0,71,T,1,replays/2ndRun\07f2f989d5a64e3aa0e430fe739b68c0.SC2Replay
46,ObiWanPwnobi,17,710,0,0.0,23.0,80,P,0,replays/2ndRun\07f2f989d5a64e3aa0e430fe739b68c0.SC2Replay
47,eonblu,58,32346,3200,31.0,122.0,825,Z,0,replays/2ndRun\07f901e09f994a78a9eb89b10832f33d.SC2Replay
48,Clem,48,18649,2625,37.0,118.0,776,T,1,replays/2ndRun\07f901e09f994a78a9eb89b10832f33d.SC2Replay
49,PiLiPiLi,41,11126,625,8.0,62.0,371,P,0,replays/2ndRun\08a3adfbadc44e5c92320dad48e16332.SC2Replay
50,PandaBearMe,44,5900,1050,10.0,66.0,361,Z,1,replays/2ndRun\08a3adfbadc44e5c92320dad48e16332.SC2Replay
51,MaNa,49,20225,3225,34.0,118.0,665,P,0,replays/2ndRun\08b98a000de449e19f5e8a58ae2fb14a.SC2Replay
52,INnoVation,52,17373,3925,67.0,134.0,648,T,1,replays/2ndRun\08b98a000de449e19f5e8a58ae2fb14a.SC2Replay
53,Harstem,37,5110,600,7.0,54.0,310,P,0,replays/2ndRun\08e5b16f21f6474d9ac177798be740f7.SC2Replay
54,Elazer,27,5650,1050,12.0,52.0,319,Z,1,replays/2ndRun\08e5b16f21f6474d9ac177798be740f7.SC2Replay
55,Serral,41,7268,3175,31.5,98.0,451,Z,0,replays/2ndRun\09b52dcc90b84a889a41ee63cf52585f.SC2Replay
56,Neeb,47,9615,475,5.0,78.0,448,P,1,replays/2ndRun\09b52dcc90b84a889a41ee63cf52585f.SC2Replay
57,LiquidMaNa,59,27219,1900,21.0,125.0,750,P,0,replays/2ndRun\09c727fc85514809a59bfcad38f070f8.SC2Replay
58,Elazer,47,8990,5225,64.5,122.0,519,Z,1,replays/2ndRun\09c727fc85514809a59bfcad38f070f8.SC2Replay
59,Soulkey,58,17017,2850,22.0,98.0,544,Z,0,replays/2ndRun\09db9834b3794d01813271a3d3361822.SC2Replay
60,ByuN,52,13922,1400,26.0,101.0,541,T,1,replays/2ndRun\09db9834b3794d01813271a3d3361822.SC2Replay
61,Bly,32,10881,1100,9.0,44.0,485,Z,0,replays/2ndRun\4deca5847e2a46129fd3765652fb246d.SC2Replay
62,Namshar,39,10011,1275,10.5,52.0,468,Z,1,replays/2ndRun\4deca5847e2a46129fd3765652fb246d.SC2Replay
63,Rose,28,8455,925,8.5,44.0,375,Z,0,replays/2ndRun\4df6244f2e834c3285baa1a8f593d996.SC2Replay
64,Nice,24,7171,1125,15.0,39.0,328,P,1,replays/2ndRun\4df6244f2e834c3285baa1a8f593d996.SC2Replay
65,Lambo,83,41771,13550,125.0,230.0,820,Z,0,replays/2ndRun\4e0124f1c83f4186b4da33dcbff2a1d6.SC2Replay
