,player,total_workers,resource_mining,total_army_value,total_army,time,fraction,winner,replay_filename
0,Nerchio,13,2423,1150,26,235,Z,1,replays/3rdRun\0058ba8ba845407eb1ff02e788a85d51.SC2Replay
1,Cham,19,3477,850,15,234,Z,0,replays/3rdRun\0058ba8ba845407eb1ff02e788a85d51.SC2Replay
2,SortOf,27,10607,950,13,421,Z,1,replays/3rdRun\011d7113195f4b5481fa74ccf066a19d.SC2Replay
3,Snute,24,7866,925,12,420,Z,0,replays/3rdRun\011d7113195f4b5481fa74ccf066a19d.SC2Replay
4,MaSa,46,13918,2275,29,535,T,1,replays/3rdRun\012a8690e60d4a13bca315233aab03d0.SC2Replay
5,PtitDrogo,61,15585,775,4,574,P,0,replays/3rdRun\012a8690e60d4a13bca315233aab03d0.SC2Replay
6,Elazer,85,32405,5025,53,649,Z,1,replays/3rdRun\016fd313c2cc450e89bca66b01161023.SC2Replay
7,MMA,68,23099,3000,23,648,T,0,replays/3rdRun\016fd313c2cc450e89bca66b01161023.SC2Replay
8,Raze,63,43618,6025,60,948,T,0,replays/3rdRun\019caa61779643789ad804e8962f6749.SC2Replay
9,Probe,62,38663,3700,10,947,P,1,replays/3rdRun\019caa61779643789ad804e8962f6749.SC2Replay
10,ViBE,15,3993,1000,26,261,Z,1,replays/3rdRun\022be8154e7f4f7789eb9ffdff3ab0c1.SC2Replay
11,Allaryce,14,3047,750,16,195,Z,0,replays/3rdRun\022be8154e7f4f7789eb9ffdff3ab0c1.SC2Replay
12,Elazer,35,12749,2150,42,539,Z,0,replays/3rdRun\025a9fba264743aa9bc4c7e6d05929eb.SC2Replay
13,Scarlett,42,15672,2500,34,544,Z,1,replays/3rdRun\025a9fba264743aa9bc4c7e6d05929eb.SC2Replay
14,ByuN,56,53941,6425,86,1063,T,0,replays/3rdRun\025c28d1745341589405b6e7f1ffd6c9.SC2Replay
15,Soulkey,71,43049,10050,148,1049,Z,1,replays/3rdRun\025c28d1745341589405b6e7f1ffd6c9.SC2Replay
16,Ziggy,23,3729,500,5,260,T,1,replays/3rdRun\029abd1e7c374bc7ab081b588ddd9250.SC2Replay
17,Allaryce,22,3666,700,9,268,Z,0,replays/3rdRun\029abd1e7c374bc7ab081b588ddd9250.SC2Replay
18,HeroMarine,74,27691,5525,29,821,T,1,replays/3rdRun\039bee8fdf8a47f3b2a031a8c5383b68.SC2Replay
19,TRUE,65,29428,12050,97,826,Z,0,replays/3rdRun\039bee8fdf8a47f3b2a031a8c5383b68.SC2Replay
20,Lambo,65,12691,3075,56,517,Z,1,replays/3rdRun\042e5b0854cf4cbd859843a1e7b9a6f8.SC2Replay
21,Bones,49,15777,500,4,441,P,0,replays/3rdRun\042e5b0854cf4cbd859843a1e7b9a6f8.SC2Replay
22,Scarlett,36,18934,2150,14,516,Z,1,replays/3rdRun\044c3d9ec50743f18d3bdce2df95f14a.SC2Replay
23,FeaR,31,18756,975,4,524,P,0,replays/3rdRun\044c3d9ec50743f18d3bdce2df95f14a.SC2Replay
24,GOStephano,64,48293,7850,99,967,Z,1,replays/3rdRun\048bdf4b8de94c0fa9e341d652615feb.SC2Replay
25,Zest,60,60397,5650,18,947,P,0,replays/3rdRun\048bdf4b8de94c0fa9e341d652615feb.SC2Replay
26,Nerchio,77,44673,15575,129,950,Z,1,replays/3rdRun\053ca748afcf4c919c61ec1724ccbfbb.SC2Replay
27,Patience,68,34058,6290,43,761,P,0,replays/3rdRun\053ca748afcf4c919c61ec1724ccbfbb.SC2Replay
28,Namshar,32,7975,1825,35,387,Z,0,replays/3rdRun\053ce4df53804257b948f6649741c260.SC2Replay
29,Cham,37,7361,1575,20,395,Z,1,replays/3rdRun\053ce4df53804257b948f6649741c260.SC2Replay
30,TRUE,62,36848,7175,119,865,Z,1,replays/3rdRun\054ce351333e41c897025cf3c9ecaeed.SC2Replay
31,TIME,62,58807,5400,65,894,T,0,replays/3rdRun\054ce351333e41c897025cf3c9ecaeed.SC2Replay
32,Drager,25,8153,750,6,297,P,0,replays/3rdRun\057a9ff00f0743d794537602eec0aa32.SC2Replay
33,Has,24,5756,1050,6,298,P,1,replays/3rdRun\057a9ff00f0743d794537602eec0aa32.SC2Replay
34,TIME,37,14853,1250,13,574,T,0,replays/3rdRun\057cca6d6e5843c1a325c01b6a6bb53c.SC2Replay
35,ZooWhaleTail,51,17884,1925,30,511,Z,1,replays/3rdRun\057cca6d6e5843c1a325c01b6a6bb53c.SC2Replay
36,Ninja,36,9033,625,4,381,P,0,replays/3rdRun\060bd267f7dd4d83b6bdadfe3246c798.SC2Replay
37,Semper,41,13016,1475,12,479,T,1,replays/3rdRun\060bd267f7dd4d83b6bdadfe3246c798.SC2Replay
38,Sen,26,7395,1525,28,364,Z,1,replays/3rdRun\061d27c35c62430ebfcfc7c775d899b2.SC2Replay
39,Rose,18,5689,1500,32,332,Z,0,replays/3rdRun\061d27c35c62430ebfcfc7c775d899b2.SC2Replay
40,DnS,63,16879,1800,9,629,P,1,replays/3rdRun\062a6d90c02e4a2fbfde85cc379f0d4e.SC2Replay
41,PiLiPiLi,46,15628,650,4,518,P,0,replays/3rdRun\062a6d90c02e4a2fbfde85cc379f0d4e.SC2Replay
42,Namshar,71,54252,11625,210,853,Z,0,replays/3rdRun\063ad602dacf4437980c65e5672f3778.SC2Replay
43,Bunny,65,51400,7450,95,920,T,1,replays/3rdRun\063ad602dacf4437980c65e5672f3778.SC2Replay
44,HeroMarine,41,9450,1325,11,422,T,0,replays/3rdRun\064e16b98e654a03a68dfe2754a5a10f.SC2Replay
45,ShaDoWn,42,10347,575,4,418,P,1,replays/3rdRun\064e16b98e654a03a68dfe2754a5a10f.SC2Replay
46,HeroMarine,49,15774,1675,20,559,T,1,replays/3rdRun\066f43da7f084e0893b2e3fef483c0c0.SC2Replay
47,ShaDoWn,45,15042,600,2,552,P,0,replays/3rdRun\066f43da7f084e0893b2e3fef483c0c0.SC2Replay
48,Patience,56,25706,350,2,598,P,0,replays/3rdRun\068f25db83b54be7a7c7ca09dc93b109.SC2Replay
49,lIIllllIIlll,65,26340,4275,41,775,T,1,replays/3rdRun\068f25db83b54be7a7c7ca09dc93b109.SC2Replay
50,Creature,66,21990,1975,10,736,P,0,replays/3rdRun\070c0dfbeb144569b7dec69a53f39dfe.SC2Replay
51,Mokomi,53,29990,4675,16,734,P,1,replays/3rdRun\070c0dfbeb144569b7dec69a53f39dfe.SC2Replay
52,MaNa,62,18170,2450,9,592,P,1,replays/3rdRun\10a0b5e2947c489f80ac1f05c0f8dcf7.SC2Replay
53,Pono,57,30548,2050,41,609,Z,0,replays/3rdRun\10a0b5e2947c489f80ac1f05c0f8dcf7.SC2Replay
54,LiquidSnute,64,39367,8000,66,849,Z,1,replays/3rdRun\10b017e672e64245811d2365470e7713.SC2Replay
55,Reynor,61,25016,7750,67,854,Z,0,replays/3rdRun\10b017e672e64245811d2365470e7713.SC2Replay
56,FanTaSy,30,9929,1000,4,356,T,1,replays/3rdRun\10d8f657b3f0489791d8e524c79d782e.SC2Replay
57,Patience,23,8445,1275,7,363,P,0,replays/3rdRun\10d8f657b3f0489791d8e524c79d782e.SC2Replay
58,LiquidMaNa,47,9293,1525,7,427,P,0,replays/3rdRun\10e50bbab26c41b989848f1ef7444e6d.SC2Replay
