,Unnamed: 0.1,Unnamed: 0,player,total_workers,resource_mining,total_army_value,total_army,time,fraction,winner,replay_filename
0,0,0,soul,57,23323,3450,38,676,0,0,replays/4thRun\0085e5bcbcdd41d7809f7429a46d8bbf.SC2Replay
1,1,1,MaNa,67,21684,2800,12,653,0,1,replays/4thRun\0085e5bcbcdd41d7809f7429a46d8bbf.SC2Replay
2,2,2,Scarlett,14,3180,500,14,180,0,1,replays/4thRun\0097cad75a0e404a936cf28ae3ef67d1.SC2Replay
3,3,3,Serral,17,2711,400,10,197,0,0,replays/4thRun\0097cad75a0e404a936cf28ae3ef67d1.SC2Replay
4,4,4,GogojOey,49,15634,4300,33,524,0,1,replays/4thRun\0120e4e04bba43a78e3a060a3245b3c8.SC2Replay
5,5,5,Stephano,42,11287,2750,24,519,0,0,replays/4thRun\0120e4e04bba43a78e3a060a3245b3c8.SC2Replay
6,6,6,HellraiseR,70,36957,1700,7,837,0,0,replays/4thRun\0151e5d7a7b14a7997878c040e0ebea2.SC2Replay
7,7,7,DeMusliM,65,33096,6025,52,767,0,1,replays/4thRun\0151e5d7a7b14a7997878c040e0ebea2.SC2Replay
8,8,8,MaSa,23,3472,200,2,222,0,0,replays/4thRun\0218e457157e4bb9bc6bb832c8de9ef2.SC2Replay
9,9,9,uThermal,21,2212,400,4,241,0,1,replays/4thRun\0218e457157e4bb9bc6bb832c8de9ef2.SC2Replay
10,10,10,Lambo,85,28586,7700,68,801,0,1,replays/4thRun\0245b79d7de342959c4362fa46d86f77.SC2Replay
11,11,11,LiquidMaNa,69,41849,1675,6,763,0,0,replays/4thRun\0245b79d7de342959c4362fa46d86f77.SC2Replay
12,12,12,TYTY,47,13202,1975,23,503,0,1,replays/4thRun\0278ef31567745f4beb4e2d114804c25.SC2Replay
13,13,13,Stats,47,14489,1150,6,493,0,0,replays/4thRun\0278ef31567745f4beb4e2d114804c25.SC2Replay
14,14,14,daydrA,42,10849,3225,39,502,0,1,replays/4thRun\0334b98dfb7747fc9a4e56c9ccd17151.SC2Replay
15,15,15,NonY,46,13197,1200,5,473,0,0,replays/4thRun\0334b98dfb7747fc9a4e56c9ccd17151.SC2Replay
16,16,16,Kelazhur,67,24909,3025,37,689,0,1,replays/4thRun\0338d9d809f54e4897d54dc87bd5797d.SC2Replay
17,17,17,ShoWTimE,65,19559,925,5,607,0,0,replays/4thRun\0338d9d809f54e4897d54dc87bd5797d.SC2Replay
18,18,18,Sioras,60,16506,2950,44,534,0,0,replays/4thRun\0341c5fc2e7346709efc542d053b7c8c.SC2Replay
19,19,19,Has,50,18830,875,4,514,0,1,replays/4thRun\0341c5fc2e7346709efc542d053b7c8c.SC2Replay
20,20,20,Rex,48,7777,2500,43,455,0,0,replays/4thRun\0367a397239f4a5fbcfb66f1c87a29af.SC2Replay
21,21,21,Nice,37,16675,925,6,505,0,1,replays/4thRun\0367a397239f4a5fbcfb66f1c87a29af.SC2Replay
22,22,22,Rose,21,3934,750,12,258,0,0,replays/4thRun\0514bb4944404beca288269369a662fb.SC2Replay
23,23,23,Rex,15,3491,1025,22,277,0,1,replays/4thRun\0514bb4944404beca288269369a662fb.SC2Replay
24,24,24,Harstem,57,22888,3075,11,704,0,0,replays/4thRun\0515a83fe2e542c4b5536d2bd6112d83.SC2Replay
25,25,25,GOStephano,40,20023,4275,66,736,0,1,replays/4thRun\0515a83fe2e542c4b5536d2bd6112d83.SC2Replay
26,26,26,uThermal,65,15444,3400,45,684,0,0,replays/4thRun\0516ae3c934841b8b61cc09d3fd6b472.SC2Replay
27,27,27,Neeb,69,58552,1775,7,907,0,1,replays/4thRun\0516ae3c934841b8b61cc09d3fd6b472.SC2Replay
28,28,28,ShaDoWn,43,8337,475,4,389,0,0,replays/4thRun\0543e3b74b064e7c9d2b5134e3b0604f.SC2Replay
29,29,29,Solar,40,7170,1350,21,381,0,1,replays/4thRun\0543e3b74b064e7c9d2b5134e3b0604f.SC2Replay
30,30,30,Patience,65,21025,2150,9,646,0,0,replays/4thRun\0619e8bd02b549909b473d8f00010e2b.SC2Replay
31,31,31,Zanster,68,16151,6500,66,639,0,1,replays/4thRun\0619e8bd02b549909b473d8f00010e2b.SC2Replay
32,32,32,Zanster,51,11554,2775,40,481,0,1,replays/4thRun\0652c6fe67864913a0c93b165fe19737.SC2Replay
33,33,33,Cham,40,11685,2850,27,494,0,0,replays/4thRun\0652c6fe67864913a0c93b165fe19737.SC2Replay
34,34,34,SLeet,53,8853,1625,17,424,0,1,replays/4thRun\073bb50542e843848f2abf0645fa50c8.SC2Replay
35,35,35,mLty,35,11883,1350,20,423,0,0,replays/4thRun\073bb50542e843848f2abf0645fa50c8.SC2Replay
36,36,36,msrm,23,6149,450,4,252,0,0,replays/4thRun\075ee1b972694981b809cea4cb7bfb26.SC2Replay
37,37,37,MaSa,24,3204,400,4,247,0,1,replays/4thRun\075ee1b972694981b809cea4cb7bfb26.SC2Replay
