,player,total_workers,resource_mining,total_army_value,total_army,supply,time,fraction,winner,replay_filename
0,soul,57,23323,3450,53.0,141.0,676,T,0,replays/4thRun\0085e5bcbcdd41d7809f7429a46d8bbf.SC2Replay
1,MaNa,67,21684,2800,26.0,141.0,653,P,1,replays/4thRun\0085e5bcbcdd41d7809f7429a46d8bbf.SC2Replay
2,Scarlett,14,3180,500,6.0,22.0,180,Z,1,replays/4thRun\0097cad75a0e404a936cf28ae3ef67d1.SC2Replay
3,Serral,17,2711,400,4.0,28.0,197,Z,0,replays/4thRun\0097cad75a0e404a936cf28ae3ef67d1.SC2Replay
4,GogojOey,49,15634,4300,42.0,106.0,524,Z,1,replays/4thRun\0120e4e04bba43a78e3a060a3245b3c8.SC2Replay
5,Stephano,42,11287,2750,30.0,84.0,519,Z,0,replays/4thRun\0120e4e04bba43a78e3a060a3245b3c8.SC2Replay
6,HellraiseR,70,36957,1700,18.0,149.0,837,P,0,replays/4thRun\0151e5d7a7b14a7997878c040e0ebea2.SC2Replay
7,DeMusliM,65,33096,6025,92.0,157.0,767,T,1,replays/4thRun\0151e5d7a7b14a7997878c040e0ebea2.SC2Replay
8,MaSa,23,3472,200,2.0,31.0,222,T,0,replays/4thRun\0218e457157e4bb9bc6bb832c8de9ef2.SC2Replay
9,uThermal,21,2212,400,4.0,31.0,241,T,1,replays/4thRun\0218e457157e4bb9bc6bb832c8de9ef2.SC2Replay
10,Lambo,85,28586,7700,73.0,192.0,801,Z,1,replays/4thRun\0245b79d7de342959c4362fa46d86f77.SC2Replay
11,LiquidMaNa,69,41849,1675,18.0,165.0,763,P,0,replays/4thRun\0245b79d7de342959c4362fa46d86f77.SC2Replay
12,TYTY,47,13202,1975,30.0,94.0,503,T,1,replays/4thRun\0278ef31567745f4beb4e2d114804c25.SC2Replay
13,Stats,47,14489,1150,14.0,94.0,493,P,0,replays/4thRun\0278ef31567745f4beb4e2d114804c25.SC2Replay
14,daydrA,42,10849,3225,31.5,90.0,502,Z,1,replays/4thRun\0334b98dfb7747fc9a4e56c9ccd17151.SC2Replay
15,NonY,46,13197,1200,10.0,94.0,473,P,0,replays/4thRun\0334b98dfb7747fc9a4e56c9ccd17151.SC2Replay
16,Kelazhur,67,24909,3025,49.0,125.0,689,T,1,replays/4thRun\0338d9d809f54e4897d54dc87bd5797d.SC2Replay
17,ShoWTimE,65,19559,925,10.0,117.0,607,P,0,replays/4thRun\0338d9d809f54e4897d54dc87bd5797d.SC2Replay
18,Sioras,60,16506,2950,25.0,114.0,534,Z,0,replays/4thRun\0341c5fc2e7346709efc542d053b7c8c.SC2Replay
19,Has,50,18830,875,10.0,78.0,514,P,1,replays/4thRun\0341c5fc2e7346709efc542d053b7c8c.SC2Replay
20,Rex,48,7777,2500,21.0,106.0,455,Z,0,replays/4thRun\0367a397239f4a5fbcfb66f1c87a29af.SC2Replay
21,Nice,37,16675,925,11.0,110.0,505,P,1,replays/4thRun\0367a397239f4a5fbcfb66f1c87a29af.SC2Replay
22,Rose,21,3934,750,6.0,30.0,258,Z,0,replays/4thRun\0514bb4944404beca288269369a662fb.SC2Replay
23,Rex,15,3491,1025,12.5,36.0,277,Z,1,replays/4thRun\0514bb4944404beca288269369a662fb.SC2Replay
24,Harstem,57,22888,3075,31.0,110.0,704,P,0,replays/4thRun\0515a83fe2e542c4b5536d2bd6112d83.SC2Replay
25,GOStephano,40,20023,4275,56.5,122.0,736,Z,1,replays/4thRun\0515a83fe2e542c4b5536d2bd6112d83.SC2Replay
26,uThermal,65,15444,3400,59.0,149.0,684,T,0,replays/4thRun\0516ae3c934841b8b61cc09d3fd6b472.SC2Replay
27,Neeb,69,58552,1775,19.0,204.0,907,P,1,replays/4thRun\0516ae3c934841b8b61cc09d3fd6b472.SC2Replay
28,ShaDoWn,43,8337,475,8.0,62.0,389,P,0,replays/4thRun\0543e3b74b064e7c9d2b5134e3b0604f.SC2Replay
29,Solar,40,7170,1350,12.0,60.0,381,Z,1,replays/4thRun\0543e3b74b064e7c9d2b5134e3b0604f.SC2Replay
30,Patience,65,21025,2150,24.0,133.0,646,P,0,replays/4thRun\0619e8bd02b549909b473d8f00010e2b.SC2Replay
31,Zanster,68,16151,6500,88.0,176.0,639,Z,1,replays/4thRun\0619e8bd02b549909b473d8f00010e2b.SC2Replay
32,Zanster,51,11554,2775,28.5,92.0,481,Z,1,replays/4thRun\0652c6fe67864913a0c93b165fe19737.SC2Replay
33,Cham,40,11685,2850,36.0,76.0,494,Z,0,replays/4thRun\0652c6fe67864913a0c93b165fe19737.SC2Replay
34,SLeet,53,8853,1625,10.5,82.0,424,Z,1,replays/4thRun\073bb50542e843848f2abf0645fa50c8.SC2Replay
35,mLty,35,11883,1350,23.0,70.0,423,T,0,replays/4thRun\073bb50542e843848f2abf0645fa50c8.SC2Replay
36,msrm,23,6149,450,2.0,36.0,252,Z,0,replays/4thRun\075ee1b972694981b809cea4cb7bfb26.SC2Replay
37,MaSa,24,3204,400,4.0,31.0,247,T,1,replays/4thRun\075ee1b972694981b809cea4cb7bfb26.SC2Replay
38,DnS,48,21570,2400,28.0,102.0,703,P,0,replays/4thRun\0776d572636c4ebba384e6cbdd4868d5.SC2Replay
39,Clem,45,15788,3050,49.0,102.0,744,T,1,replays/4thRun\0776d572636c4ebba384e6cbdd4868d5.SC2Replay
40,RiSky,25,7124,575,4.5,36.0,357,Z,0,replays/4thRun\091fbec2320d40a8b1a24ba65dc0940b.SC2Replay
41,Dark,42,4824,1325,10.5,60.0,356,Z,1,replays/4thRun\091fbec2320d40a8b1a24ba65dc0940b.SC2Replay
42,Revolution,26,6509,1425,16.5,52.0,336,Z,0,replays/4thRun\101eb3b3bec74f8c9540eed6144b7d7c.SC2Replay
43,Zanster,39,9148,1525,16.5,66.0,392,Z,1,replays/4thRun\101eb3b3bec74f8c9540eed6144b7d7c.SC2Replay
44,HeroMarine,74,38039,8150,119.0,212.0,875,T,1,replays/4thRun\102db4526dfa48919bf0c18b330f3d53.SC2Replay
45,Reynor,82,50286,10575,116.5,214.0,880,Z,0,replays/4thRun\102db4526dfa48919bf0c18b330f3d53.SC2Replay
46,Dana,31,10318,3700,47.0,90.0,573,Z,0,replays/4thRun\102df2bd4ad44b8aa001bd32ac00f41d.SC2Replay
47,Elroye,39,23052,3000,32.0,90.0,612,Z,1,replays/4thRun\102df2bd4ad44b8aa001bd32ac00f41d.SC2Replay
48,BackupC,71,53506,5500,79.0,188.0,934,T,0,replays/4thRun\106a727021834117ad12852dcacc7c84.SC2Replay
49,Mackintac,82,63548,8075,63.5,176.0,876,Z,1,replays/4thRun\106a727021834117ad12852dcacc7c84.SC2Replay
50,PengWin,40,20426,2700,29.0,92.0,530,Z,0,replays/4thRun\110cecf1ed2449adb45d5e857478575e.SC2Replay
51,Rhizer,48,12516,1250,14.0,110.0,530,P,1,replays/4thRun\110cecf1ed2449adb45d5e857478575e.SC2Replay
52,MaNa,23,5086,1050,12.0,39.0,311,P,0,replays/4thRun\110e90eb755749f481ddb25509e0f49e.SC2Replay
53,ShoWTimE,26,5588,950,12.0,39.0,303,P,1,replays/4thRun\110e90eb755749f481ddb25509e0f49e.SC2Replay
54,eGGz,33,7404,1250,10.0,60.0,357,Z,0,replays/4thRun\112a001e0052438aa328ab762c25fe46.SC2Replay
55,Serral,40,6691,1400,11.0,60.0,366,Z,1,replays/4thRun\112a001e0052438aa328ab762c25fe46.SC2Replay
56,puCK,22,3965,825,10.0,39.0,266,P,1,replays/4thRun\116b89d443834b4f9778f7cbc2d5ca74.SC2Replay
57,MaSa,24,3743,475,9.0,30.0,315,T,0,replays/4thRun\116b89d443834b4f9778f7cbc2d5ca74.SC2Replay
58,AdminA,44,18392,875,10.0,78.0,545,P,1,replays/4thRun\118d27ab67754348a294b2c57273e781.SC2Replay
59,ObiWanPwnobi,55,32211,4750,48.0,126.0,788,P,0,replays/4thRun\118d27ab67754348a294b2c57273e781.SC2Replay
60,Elazer,68,17735,5600,65.0,146.0,659,Z,1,replays/4thRun\118e6b5c934d4098b8d6b19ebe5c1f24.SC2Replay
61,Serral,66,20723,6550,73.0,160.0,666,Z,0,replays/4thRun\118e6b5c934d4098b8d6b19ebe5c1f24.SC2Replay
62,Kashim,16,13109,800,7.0,30.0,471,Z,0,replays/4thRun\125d99ff837245a5bba6c78c057bbe1b.SC2Replay
63,Mamba,31,9884,1825,14.5,60.0,466,Z,1,replays/4thRun\125d99ff837245a5bba6c78c057bbe1b.SC2Replay
64,uThermal,54,18659,1050,21.0,101.0,558,T,0,replays/4thRun\126af3eaf9694281a64707d7b6a1b0aa.SC2Replay
65,Nerchio,58,12417,3600,39.0,114.0,561,Z,1,replays/4thRun\126af3eaf9694281a64707d7b6a1b0aa.SC2Replay
66,Wardí,71,45389,8175,129.0,227.0,966,Z,1,replays/4thRun\126cd0f45e6d430e99f38b7a3c05bf0b.SC2Replay
67,Bly,65,56610,6600,103.0,189.0,1030,P,1,replays/4thRun\126cd0f45e6d430e99f38b7a3c05bf0b.SC2Replay
68,Narde,0,0,0,0.0,0.0,0,U,0,replays/4thRun\126cd0f45e6d430e99f38b7a3c05bf0b.SC2Replay
69,PtitDrogo,0,0,0,0.0,0.0,0,U,0,replays/4thRun\126cd0f45e6d430e99f38b7a3c05bf0b.SC2Replay
70,HeRoMaRinE,26,4861,550,7.0,39.0,273,T,0,replays/4thRun\128b856113da4cd6b630b94b6b0f01f5.SC2Replay
71,Kelazhur,27,4157,550,7.0,39.0,288,T,1,replays/4thRun\128b856113da4cd6b630b94b6b0f01f5.SC2Replay
72,HeroMarine,47,11649,1425,23.0,70.0,458,T,1,replays/4thRun\130be931f59b4b14ae736270a964e472.SC2Replay
73,soO,38,12761,4200,51.0,114.0,480,Z,0,replays/4thRun\130be931f59b4b14ae736270a964e472.SC2Replay
74,Indy,51,13207,925,10.0,86.0,503,P,0,replays/4thRun\133fb3cfc9b74bc79b0ec612f27d93cf.SC2Replay
75,Namshar,58,11319,2700,21.0,130.0,504,Z,1,replays/4thRun\133fb3cfc9b74bc79b0ec612f27d93cf.SC2Replay
76,INnoVation,67,16669,2425,37.0,125.0,638,T,1,replays/4thRun\137c803981b347a7919677664b67956d.SC2Replay
77,Stephano,65,37144,3375,39.5,112.0,645,Z,0,replays/4thRun\137c803981b347a7919677664b67956d.SC2Replay
78,FeaR,33,16539,1450,19.0,78.0,494,P,1,replays/4thRun\139ae14c8be84dda98a45bd4ddeaa274.SC2Replay
79,HellraiseR,26,6941,1275,14.0,47.0,324,P,0,replays/4thRun\139ae14c8be84dda98a45bd4ddeaa274.SC2Replay
80,Optimus,55,16532,3775,57.0,133.0,714,T,1,replays/4thRun\152ac78b046b40ba9caadca69771ee6d.SC2Replay
81,Socke,50,31163,1800,21.0,126.0,721,P,0,replays/4thRun\152ac78b046b40ba9caadca69771ee6d.SC2Replay
82,THERIDDLER,68,29167,4800,76.0,181.0,805,T,1,replays/4thRun\154ca68db7324b18a9f0f72c17c5ffd7.SC2Replay
83,Raze,68,19317,825,10.0,125.0,648,P,0,replays/4thRun\154ca68db7324b18a9f0f72c17c5ffd7.SC2Replay
84,Scarlett,69,29143,8300,101.0,170.0,733,Z,0,replays/4thRun\155a2033398b4ac0a5fb24c8c13f034c.SC2Replay
85,Maru,60,22710,3625,54.0,141.0,742,T,1,replays/4thRun\155a2033398b4ac0a5fb24c8c13f034c.SC2Replay
86,eGGz,40,11131,2025,19.5,76.0,438,Z,0,replays/4thRun\156bb04738e34d39899906c2aa3bfbb5.SC2Replay
87,INnoVation,38,9096,1850,31.0,70.0,435,T,1,replays/4thRun\156bb04738e34d39899906c2aa3bfbb5.SC2Replay
88,iGMacSed,37,5024,500,6.0,62.0,324,P,0,replays/4thRun\157f22f666f64c48a3539fea164cb806.SC2Replay
89,iGRushcrazy,27,5397,1275,15.5,52.0,324,Z,0,replays/4thRun\157f22f666f64c48a3539fea164cb806.SC2Replay
90,iGXiGua,0,0,0,0.0,0.0,0,U,0,replays/4thRun\157f22f666f64c48a3539fea164cb806.SC2Replay
91,iGJim,0,0,0,0.0,0.0,0,U,0,replays/4thRun\157f22f666f64c48a3539fea164cb806.SC2Replay
92,Lambo,26,6031,1725,15.5,66.0,337,Z,1,replays/4thRun\159fd3cb19a6460aa2fa9a5c633b8b67.SC2Replay
93,Elroye,31,9019,1375,11.5,52.0,360,Z,0,replays/4thRun\159fd3cb19a6460aa2fa9a5c633b8b67.SC2Replay
94,DnS,48,12458,600,7.0,70.0,461,P,0,replays/4thRun\172d42e467314b2ca326e2535e654d77.SC2Replay
