,player,total_workers,total_army_value,total_army,time,fraction,winner,replay_filename,resource_consumption,resource_mining
0,DnS,66,2625,11,808,P,1,replays/1stRun\001bf0a2e6624544b051e1ebf649b480.SC2Replay,3538.6363636363635,21331.2
1,Clem,46,5825,65,836,T,0,replays/1stRun\001bf0a2e6624544b051e1ebf649b480.SC2Replay,2389.6153846153848,15382.400000000001
2,iGiA,45,1400,16,390,Z,1,replays/1stRun\003c1f2e362242c698c21063bfcc4d6f.SC2Replay,2337.5,7020.0
3,iGXiGua,34,2125,50,390,Z,0,replays/1stRun\003c1f2e362242c698c21063bfcc4d6f.SC2Replay,1742.5,5304.000000000001
4,State,27,550,3,261,P,0,replays/1stRun\00b612edc78c4a818fa4405db3bfe3fd.SC2Replay,1533.3333333333333,2818.8
5,PiLiPiLi,23,600,4,252,P,1,replays/1stRun\00b612edc78c4a818fa4405db3bfe3fd.SC2Replay,1300.0,2318.4
6,Optimus,66,8000,88,934,T,1,replays/1stRun\00c26072d8ec4c699dab9154900aa769.SC2Replay,3390.909090909091,24657.600000000002
7,LiquidTLO,74,12300,181,1016,Z,0,replays/1stRun\00c26072d8ec4c699dab9154900aa769.SC2Replay,3767.9558011049726,30073.600000000002
8,Sen,37,1450,24,356,Z,1,replays/1stRun\00d09303c8c54d52980881fdac912b8f.SC2Replay,1910.4166666666667,5268.8
9,Rose,35,950,13,325,Z,0,replays/1stRun\00d09303c8c54d52980881fdac912b8f.SC2Replay,1823.076923076923,4550.0
10,Zest,64,2525,9,653,P,1,replays/1stRun\00f9958cffb34e24a277e76ee34c211f.SC2Replay,3480.555555555556,16716.8
11,Stephano,64,5375,43,658,Z,0,replays/1stRun\00f9958cffb34e24a277e76ee34c211f.SC2Replay,3325.0,16844.8
12,MaNa,28,1075,6,364,P,1,replays/1stRun\00fdc8fa93474b1196b9a36188f21bc8.SC2Replay,1579.1666666666667,4076.8
13,Caliber,23,1250,7,292,P,0,replays/1stRun\00fdc8fa93474b1196b9a36188f21bc8.SC2Replay,1328.571428571429,2686.4
14,Zanster,67,5000,70,587,Z,1,replays/1stRun\01a72a97f1d84e9db6462f70119e5804.SC2Replay,3421.428571428572,15731.6
15,Drunkenboi,54,2950,35,583,T,0,replays/1stRun\01a72a97f1d84e9db6462f70119e5804.SC2Replay,2784.285714285714,12592.800000000001
16,PiLiPiLi,23,1100,5,358,P,0,replays/1stRun\01ade5c6c13d4659b1957558c045d3bf.SC2Replay,1370.0,3293.6000000000004
17,Zest,28,1250,7,341,P,1,replays/1stRun\01ade5c6c13d4659b1957558c045d3bf.SC2Replay,1578.571428571429,3819.2000000000003
18,GogojOey,36,2100,21,392,Z,0,replays/1stRun\01e941712e92471399312890e265881a.SC2Replay,1900.0,5644.8
19,INnoVation,35,1750,16,449,T,1,replays/1stRun\01e941712e92471399312890e265881a.SC2Replay,1859.375,6286.0
