,player,total_workers,resource_mining,total_army_value,total_army,time,fraction,winner,replay_filename
0,HeRoMaRinE,69,16958,3725,17,846,T,1,replays/testRun\787e297b85844284a1cb642c93e032d5.SC2Replay
1,Kelazhur,66,24378,3675,19,849,T,0,replays/testRun\787e297b85844284a1cb642c93e032d5.SC2Replay
2,PtitDrogo,26,4025,950,4,345,P,1,replays/testRun\788fd280215a4577b6c02aabb4f1215f.SC2Replay
3,HellraiseR,26,2610,700,4,282,P,0,replays/testRun\788fd280215a4577b6c02aabb4f1215f.SC2Replay
4,LiquidTLO,56,6315,2500,25,481,Z,1,replays/testRun\789a654e649448c5af1ced7d3f993472.SC2Replay
5,Gauss,40,7195,300,2,454,P,0,replays/testRun\789a654e649448c5af1ced7d3f993472.SC2Replay
6,Patience,24,7565,1525,6,471,P,1,replays/testRun\789b157d041247b68f809d5cbc1b8c2d.SC2Replay
7,Zest,28,9122,1225,5,468,P,0,replays/testRun\789b157d041247b68f809d5cbc1b8c2d.SC2Replay
8,Bly,49,8765,2750,33,508,Z,0,replays/testRun\791ec4e7e7d94ab9b710c2055f5943a1.SC2Replay
9,Scarlett,39,9245,2425,58,487,Z,1,replays/testRun\791ec4e7e7d94ab9b710c2055f5943a1.SC2Replay
10,Dark,79,65455,13000,79,1075,Z,1,replays/testRun\792b4831e04e4529ac9767f6b3ce8158.SC2Replay
11,GuMiho,70,51287,7125,38,1058,T,0,replays/testRun\792b4831e04e4529ac9767f6b3ce8158.SC2Replay
12,Toodming,37,6310,2275,31,478,Z,1,replays/testRun\794bf2d41a8141038a4dd463bc3122d0.SC2Replay
13,eGGz,45,8217,1650,24,476,Z,0,replays/testRun\794bf2d41a8141038a4dd463bc3122d0.SC2Replay
14,liquidthermy,32,4995,450,5,314,T,1,replays/testRun\797dc594bfb74e4eb740549ce7582373.SC2Replay
15,SortOf,35,4465,1125,11,298,Z,0,replays/testRun\797dc594bfb74e4eb740549ce7582373.SC2Replay
16,Serral,49,6440,3400,42,493,Z,1,replays/testRun\799bd5b8aef345769463656b5245ac75.SC2Replay
17,JonSnow,34,12517,2125,34,472,Z,0,replays/testRun\799bd5b8aef345769463656b5245ac75.SC2Replay
18,LiquidTLO,70,18506,8875,79,861,Z,1,replays/testRun\806a68dd94754a8a80d638b0609a707f.SC2Replay
19,Bly,52,43738,10275,97,865,Z,0,replays/testRun\806a68dd94754a8a80d638b0609a707f.SC2Replay
20,Neeb,73,21685,1900,7,737,P,1,replays/testRun\810a854d90ae4d24a1d06692b61f9b23.SC2Replay
21,Lambo,72,12670,7050,145,735,Z,0,replays/testRun\810a854d90ae4d24a1d06692b61f9b23.SC2Replay
22,Elazer,36,5240,1700,24,374,Z,0,replays/testRun\810bc06ed10c40bfa79a265b90ea62f3.SC2Replay
23,Stephano,38,6230,1450,17,373,Z,1,replays/testRun\810bc06ed10c40bfa79a265b90ea62f3.SC2Replay
24,SpeCial,49,10033,3100,35,625,T,1,replays/testRun\816ab4f3a3f847d3ba88ba206ece0044.SC2Replay
25,MaNa,49,11050,1200,6,619,P,0,replays/testRun\816ab4f3a3f847d3ba88ba206ece0044.SC2Replay
26,Drunkenboi,27,3740,800,8,346,T,0,replays/testRun\825dc905a5dd4cfdb95e0ac5533f070d.SC2Replay
27,puCK,23,5815,1625,7,363,P,1,replays/testRun\825dc905a5dd4cfdb95e0ac5533f070d.SC2Replay
28,Hydra,65,13815,5075,40,902,Z,0,replays/testRun\826d40e1f9d24d2cb0870912d5d11d32.SC2Replay
29,Snute,60,21697,6100,44,916,Z,1,replays/testRun\826d40e1f9d24d2cb0870912d5d11d32.SC2Replay
30,Snute,69,19520,4250,38,636,Z,0,replays/testRun\832ff3422ad0445b9e96779d49ac1598.SC2Replay
31,Neeb,68,10190,1925,8,639,P,1,replays/testRun\832ff3422ad0445b9e96779d49ac1598.SC2Replay
32,Lambo,81,32426,11500,168,964,Z,0,replays/testRun\835aa02aa8f341b6a1c6785824bc0439.SC2Replay
33,Clem,77,29166,11550,67,1339,T,1,replays/testRun\835aa02aa8f341b6a1c6785824bc0439.SC2Replay
34,iaguz,72,19957,8350,88,873,T,0,replays/testRun\837a6dc58a1341e78bd46cfb740d9710.SC2Replay
35,Petraeus,81,22279,9525,105,891,Z,1,replays/testRun\837a6dc58a1341e78bd46cfb740d9710.SC2Replay
36,Dark,23,7087,1500,37,454,Z,0,replays/testRun\837fdf111859455392c365f479ae06e2.SC2Replay
37,Stats,39,3830,675,4,344,P,1,replays/testRun\837fdf111859455392c365f479ae06e2.SC2Replay
38,SpeCial,50,11770,2225,29,574,T,0,replays/testRun\838e55b5a13f460d8a6459ae3c87ec7d.SC2Replay
39,Neeb,62,9145,2625,12,555,P,1,replays/testRun\838e55b5a13f460d8a6459ae3c87ec7d.SC2Replay
40,Serral,64,19495,6550,55,730,Z,1,replays/testRun\840b58864e224fb6a2eabeb9644395a9.SC2Replay
41,Reynor,50,10350,6700,71,602,Z,0,replays/testRun\840b58864e224fb6a2eabeb9644395a9.SC2Replay
42,Nice,45,14895,1350,7,610,P,0,replays/testRun\841d362565194f8ebac4c552c679671a.SC2Replay
43,Rose,61,19082,3975,33,635,Z,1,replays/testRun\841d362565194f8ebac4c552c679671a.SC2Replay
44,Kelazhur,66,26397,8300,91,936,T,0,replays/testRun\845c5d642e114c4095ce88fc44b8cf3e.SC2Replay
45,Snute,77,39940,9675,149,860,Z,1,replays/testRun\845c5d642e114c4095ce88fc44b8cf3e.SC2Replay
46,Scarlett,52,14518,6475,63,722,Z,1,replays/testRun\845d081f3a844aa7b0a507ba329c0474.SC2Replay
47,sOs,56,15980,2125,7,700,P,0,replays/testRun\845d081f3a844aa7b0a507ba329c0474.SC2Replay
48,MaSa,64,8757,3200,38,673,T,1,replays/testRun\858a6a14ef6d48c1a53a2f807b554a97.SC2Replay
49,ShoWTimE,60,19355,500,3,818,P,0,replays/testRun\858a6a14ef6d48c1a53a2f807b554a97.SC2Replay
50,Harstem,29,4100,675,3,305,P,1,replays/testRun\858f3236e1a3419dab84d0096e5fd8c1.SC2Replay
51,Neeb,29,3415,925,4,318,P,0,replays/testRun\858f3236e1a3419dab84d0096e5fd8c1.SC2Replay
52,Lambo,56,16547,7650,71,641,Z,0,replays/testRun\863fc52f6bf04c8aa88dbd74379607c5.SC2Replay
53,Lobo,59,14610,1750,7,644,P,1,replays/testRun\863fc52f6bf04c8aa88dbd74379607c5.SC2Replay
54,Elazer,58,8860,1850,18,448,Z,1,replays/testRun\870b01c11673406aae67d56eaa2d9a02.SC2Replay
55,HellraiseR,53,5870,1000,5,470,P,0,replays/testRun\870b01c11673406aae67d56eaa2d9a02.SC2Replay
56,puCK,50,10050,350,2,677,P,0,replays/testRun\871c4dadba4a4299a8e305ace869db4b.SC2Replay
57,viOLet,59,14540,5275,54,714,Z,1,replays/testRun\871c4dadba4a4299a8e305ace869db4b.SC2Replay
58,Hydra,48,4230,1325,12,360,Z,0,replays/testRun\876da9cce9f748e3b03ffc5c9926b03a.SC2Replay
59,Neeb,38,4470,550,4,348,P,1,replays/testRun\876da9cce9f748e3b03ffc5c9926b03a.SC2Replay
60,Serral,84,78546,11550,155,1211,Z,0,replays/testRun\876ea1db562842a296cae5e422f8500e.SC2Replay
61,TYTY,93,29804,5850,55,963,T,1,replays/testRun\876ea1db562842a296cae5e422f8500e.SC2Replay
62,Elazer,70,27483,12475,160,824,Z,0,replays/testRun\880aa75b9d9a470a9ad0b507738137a9.SC2Replay
63,Patience,67,16845,1125,6,726,P,1,replays/testRun\880aa75b9d9a470a9ad0b507738137a9.SC2Replay
64,SortOf,55,8490,3775,69,533,Z,1,replays/testRun\884cc8a1816f48c59a629e8ec6803171.SC2Replay
65,Mokomi,46,7935,1675,8,535,P,0,replays/testRun\884cc8a1816f48c59a629e8ec6803171.SC2Replay
66,TIME,63,13298,2100,27,630,T,0,replays/testRun\884db861eb27442caeeac0265cfd957b.SC2Replay
67,Stephano,57,27525,4125,90,668,Z,1,replays/testRun\884db861eb27442caeeac0265cfd957b.SC2Replay
68,Neuro,25,9909,2475,46,641,Z,0,replays/testRun\889ae6c17e034ddf8eb31d53a8ece25e.SC2Replay
69,daydrA,28,7093,1875,44,631,Z,1,replays/testRun\889ae6c17e034ddf8eb31d53a8ece25e.SC2Replay
70,Crimson,47,9745,2925,48,454,Z,0,replays/testRun\892d44aa5e364b61a81edc66da5c0af9.SC2Replay
71,Maru,41,4835,1500,24,444,T,1,replays/testRun\892d44aa5e364b61a81edc66da5c0af9.SC2Replay
