,player,total_workers,resource_mining,total_army_value,total_army,supply,time,fraction,winner,replay_filename
0,HeRoMaRinE,69,26070,3725,47.0,133.0,846,T,1,replays/testRun\787e297b85844284a1cb642c93e032d5.SC2Replay
1,Kelazhur,66,31586,3675,48.0,125.0,849,T,0,replays/testRun\787e297b85844284a1cb642c93e032d5.SC2Replay
2,PtitDrogo,26,6967,950,10.0,47.0,345,P,1,replays/testRun\788fd280215a4577b6c02aabb4f1215f.SC2Replay
3,HellraiseR,26,4588,700,8.0,39.0,282,P,0,replays/testRun\788fd280215a4577b6c02aabb4f1215f.SC2Replay
4,LiquidTLO,56,8342,2500,27.0,98.0,481,Z,1,replays/testRun\789a654e649448c5af1ced7d3f993472.SC2Replay
5,Gauss,40,11121,300,4.0,78.0,454,P,0,replays/testRun\789a654e649448c5af1ced7d3f993472.SC2Replay
6,Patience,24,11372,1525,16.0,71.0,471,P,1,replays/testRun\789b157d041247b68f809d5cbc1b8c2d.SC2Replay
7,Zest,28,12223,1225,14.0,70.0,468,P,0,replays/testRun\789b157d041247b68f809d5cbc1b8c2d.SC2Replay
8,Bly,49,13030,2750,27.0,92.0,508,Z,0,replays/testRun\791ec4e7e7d94ab9b710c2055f5943a1.SC2Replay
9,Scarlett,39,13109,2425,29.5,68.0,487,Z,1,replays/testRun\791ec4e7e7d94ab9b710c2055f5943a1.SC2Replay
10,Dark,79,97894,13000,119.0,244.0,1075,Z,1,replays/testRun\792b4831e04e4529ac9767f6b3ce8158.SC2Replay
11,GuMiho,70,96147,7125,90.0,211.0,1058,T,0,replays/testRun\792b4831e04e4529ac9767f6b3ce8158.SC2Replay
12,Toodming,37,9062,2275,23.5,76.0,478,Z,1,replays/testRun\794bf2d41a8141038a4dd463bc3122d0.SC2Replay
13,eGGz,45,14325,1650,12.0,90.0,476,Z,0,replays/testRun\794bf2d41a8141038a4dd463bc3122d0.SC2Replay
14,liquidthermy,32,6484,450,9.0,46.0,314,T,1,replays/testRun\797dc594bfb74e4eb740549ce7582373.SC2Replay
15,SortOf,35,5257,1125,7.5,52.0,298,Z,0,replays/testRun\797dc594bfb74e4eb740549ce7582373.SC2Replay
16,Serral,49,10787,3400,38.0,106.0,493,Z,1,replays/testRun\799bd5b8aef345769463656b5245ac75.SC2Replay
17,JonSnow,34,15495,2125,18.5,84.0,472,Z,0,replays/testRun\799bd5b8aef345769463656b5245ac75.SC2Replay
18,LiquidTLO,70,22799,8875,113.5,200.0,861,Z,1,replays/testRun\806a68dd94754a8a80d638b0609a707f.SC2Replay
19,Bly,52,50368,10275,143.5,208.0,865,Z,0,replays/testRun\806a68dd94754a8a80d638b0609a707f.SC2Replay
20,Neeb,73,31829,1900,20.0,181.0,737,P,1,replays/testRun\810a854d90ae4d24a1d06692b61f9b23.SC2Replay
21,Lambo,72,19271,7050,76.0,158.0,735,Z,0,replays/testRun\810a854d90ae4d24a1d06692b61f9b23.SC2Replay
22,Elazer,36,7056,1700,13.0,74.0,374,Z,0,replays/testRun\810bc06ed10c40bfa79a265b90ea62f3.SC2Replay
23,Stephano,38,8313,1450,10.0,66.0,373,Z,1,replays/testRun\810bc06ed10c40bfa79a265b90ea62f3.SC2Replay
24,SpeCial,49,17331,3100,46.0,118.0,625,T,1,replays/testRun\816ab4f3a3f847d3ba88ba206ece0044.SC2Replay
25,MaNa,49,18143,1200,12.0,86.0,619,P,0,replays/testRun\816ab4f3a3f847d3ba88ba206ece0044.SC2Replay
26,Drunkenboi,27,6131,800,12.0,46.0,346,T,0,replays/testRun\825dc905a5dd4cfdb95e0ac5533f070d.SC2Replay
27,puCK,23,9330,1625,20.0,55.0,363,P,1,replays/testRun\825dc905a5dd4cfdb95e0ac5533f070d.SC2Replay
28,Hydra,65,28857,5075,40.5,122.0,902,Z,0,replays/testRun\826d40e1f9d24d2cb0870912d5d11d32.SC2Replay
29,Snute,60,43121,6100,57.0,146.0,916,Z,1,replays/testRun\826d40e1f9d24d2cb0870912d5d11d32.SC2Replay
30,Snute,69,23950,4250,46.0,146.0,636,Z,0,replays/testRun\832ff3422ad0445b9e96779d49ac1598.SC2Replay
31,Neeb,68,21185,1925,20.0,117.0,639,P,1,replays/testRun\832ff3422ad0445b9e96779d49ac1598.SC2Replay
32,Lambo,81,55246,11500,115.0,222.0,964,Z,0,replays/testRun\835aa02aa8f341b6a1c6785824bc0439.SC2Replay
33,Clem,77,66973,11550,113.0,219.0,1339,T,1,replays/testRun\835aa02aa8f341b6a1c6785824bc0439.SC2Replay
34,iaguz,72,40284,8350,122.0,204.0,873,T,0,replays/testRun\837a6dc58a1341e78bd46cfb740d9710.SC2Replay
35,Petraeus,81,42015,9525,112.5,192.0,891,Z,1,replays/testRun\837a6dc58a1341e78bd46cfb740d9710.SC2Replay
36,Dark,23,9553,1500,17.0,66.0,454,Z,0,replays/testRun\837fdf111859455392c365f479ae06e2.SC2Replay
37,Stats,39,5881,675,9.0,62.0,344,P,1,replays/testRun\837fdf111859455392c365f479ae06e2.SC2Replay
38,SpeCial,50,23924,2225,36.0,101.0,574,T,0,replays/testRun\838e55b5a13f460d8a6459ae3c87ec7d.SC2Replay
39,Neeb,62,12900,2625,25.0,125.0,555,P,1,replays/testRun\838e55b5a13f460d8a6459ae3c87ec7d.SC2Replay
40,Serral,64,28838,6550,76.0,178.0,730,Z,1,replays/testRun\840b58864e224fb6a2eabeb9644395a9.SC2Replay
41,Reynor,50,13379,6700,88.0,154.0,602,Z,0,replays/testRun\840b58864e224fb6a2eabeb9644395a9.SC2Replay
42,Nice,45,22926,1350,15.0,102.0,610,P,0,replays/testRun\841d362565194f8ebac4c552c679671a.SC2Replay
43,Rose,61,24360,3975,37.5,138.0,635,Z,1,replays/testRun\841d362565194f8ebac4c552c679671a.SC2Replay
44,Kelazhur,66,51833,8300,127.0,212.0,936,T,0,replays/testRun\845c5d642e114c4095ce88fc44b8cf3e.SC2Replay
45,Snute,77,66195,9675,95.5,174.0,860,Z,1,replays/testRun\845c5d642e114c4095ce88fc44b8cf3e.SC2Replay
46,Scarlett,52,32186,6475,75.5,162.0,722,Z,1,replays/testRun\845d081f3a844aa7b0a507ba329c0474.SC2Replay
47,sOs,56,24518,2125,24.0,117.0,700,P,0,replays/testRun\845d081f3a844aa7b0a507ba329c0474.SC2Replay
48,MaSa,64,16312,3200,52.0,141.0,673,T,1,replays/testRun\858a6a14ef6d48c1a53a2f807b554a97.SC2Replay
49,ShoWTimE,60,30188,500,5.0,149.0,818,P,0,replays/testRun\858a6a14ef6d48c1a53a2f807b554a97.SC2Replay
50,Harstem,29,5580,675,6.0,39.0,305,P,1,replays/testRun\858f3236e1a3419dab84d0096e5fd8c1.SC2Replay
51,Neeb,29,4641,925,9.0,47.0,318,P,0,replays/testRun\858f3236e1a3419dab84d0096e5fd8c1.SC2Replay
52,Lambo,56,19552,7650,98.0,186.0,641,Z,0,replays/testRun\863fc52f6bf04c8aa88dbd74379607c5.SC2Replay
53,Lobo,59,23852,1750,20.0,117.0,644,P,1,replays/testRun\863fc52f6bf04c8aa88dbd74379607c5.SC2Replay
54,Elazer,58,10964,1850,12.0,90.0,448,Z,1,replays/testRun\870b01c11673406aae67d56eaa2d9a02.SC2Replay
55,HellraiseR,53,10417,1000,11.0,78.0,470,P,0,replays/testRun\870b01c11673406aae67d56eaa2d9a02.SC2Replay
56,puCK,50,15615,350,4.0,94.0,677,P,0,replays/testRun\871c4dadba4a4299a8e305ace869db4b.SC2Replay
57,viOLet,59,23662,5275,62.5,162.0,714,Z,1,replays/testRun\871c4dadba4a4299a8e305ace869db4b.SC2Replay
58,Hydra,48,5290,1325,8.5,74.0,360,Z,0,replays/testRun\876da9cce9f748e3b03ffc5c9926b03a.SC2Replay
59,Neeb,38,7253,550,8.0,54.0,348,P,1,replays/testRun\876da9cce9f748e3b03ffc5c9926b03a.SC2Replay
60,Serral,84,132203,11550,103.0,196.0,1211,Z,0,replays/testRun\876ea1db562842a296cae5e422f8500e.SC2Replay
61,TYTY,93,47727,5850,81.0,218.0,963,T,1,replays/testRun\876ea1db562842a296cae5e422f8500e.SC2Replay
62,Elazer,70,37962,12475,127.5,200.0,824,Z,0,replays/testRun\880aa75b9d9a470a9ad0b507738137a9.SC2Replay
63,Patience,67,32046,1125,13.0,165.0,726,P,1,replays/testRun\880aa75b9d9a470a9ad0b507738137a9.SC2Replay
64,SortOf,55,14255,3775,38.5,122.0,533,Z,1,replays/testRun\884cc8a1816f48c59a629e8ec6803171.SC2Replay
