,total_workers,total_army,resource_mining
6,66,40998,120.0
300,63,45403,120.0
405,64,29471,110.0
648,71,36327,105.0
788,69,51875,101.0
898,72,34280,92.0
979,63,36205,113.0
1150,72,45105,109.0
1527,64,37415,115.0
1539,71,46526,94.0
1655,66,35571,105.0
1702,65,51400,120.0
1866,66,44051,96.0
2141,74,29389,95.0
2314,65,26629,89.0
2675,82,40069,113.0
3034,71,43403,86.0
3086,70,38105,116.0
3090,69,35297,116.0
3258,76,36095,86.0
3399,70,51289,122.0
3419,68,22187,93.0
3454,69,26758,108.0
3462,70,39141,109.0
3475,73,42952,108.0
3507,81,65650,98.0
3539,71,35923,119.0
3590,68,52652,117.0
3614,63,44430,107.0
3701,71,46343,99.0
3754,53,55199,103.0
3781,53,76452,95.0
3792,67,29646,111.0
3826,69,41889,119.0
3851,61,26920,115.0
3858,75,24376,80.0
3889,64,30065,126.0
3900,57,36795,111.0
3927,70,24471,97.0
3975,61,78538,120.0
3984,69,26715,93.0
3986,69,37243,69.0
4028,80,28549,92.0
4056,72,52760,101.0
4076,67,30381,99.0
4114,75,28543,70.0
4180,72,41056,101.0
4193,77,44860,119.0
4199,73,41929,100.0
4242,55,32318,137.0
4290,76,37391,86.0
4292,77,29517,89.0
4318,62,53139,126.0
4329,77,45267,98.0
4373,79,33492,116.0
4429,72,40376,115.0
4457,73,45195,120.0
4463,75,23299,119.0
4505,69,56825,91.0
4530,81,62925,115.0
4558,78,49922,93.0
4595,69,38313,110.0
4630,72,25100,81.0
4695,70,54519,101.0
4701,75,42480,103.0
4729,70,32912,91.0
4736,77,49739,116.0
4738,78,43165,117.0
4810,75,34466,109.0
4811,84,39925,96.0
4836,69,27220,97.0
4863,58,68068,106.0
4987,76,36063,108.0
4996,69,43348,127.0
5002,71,36561,104.0
5037,70,30379,101.0
5047,76,46238,113.0
5060,61,35558,96.0
5062,78,42484,87.0
5076,61,44378,99.0
5083,81,61948,109.0
5100,79,44305,102.0
5160,69,35173,110.0
5236,79,23353,87.0
5284,77,32709,98.0
5315,73,40020,118.0
5367,78,51679,114.0
5372,82,43189,75.0
5438,80,25253,102.0
5511,68,37993,103.0
5521,63,31830,92.0
5533,75,40874,100.0
5545,78,43143,90.0
5597,76,43097,95.0
5613,60,45201,118.0
5699,61,23777,103.0
5728,67,19441,93.0
5755,77,36253,108.0
5759,76,43173,88.0
5766,72,28281,104.0
5773,56,35877,77.0
5805,71,37817,124.0
5824,77,56075,82.0
5831,81,35172,90.0
5832,73,37654,101.0
5838,70,38818,103.0
5882,82,34305,46.0
5886,60,25907,97.0
